match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
Man. City:AFC Bournemouth,3:0,Maximo Perrone,A. Laporte,B. Mendy,Bernardo Silva:I. Gundogan;M. Akanji:A. Laporte;Maximo Perrone:E. Haaland,Ederson;J. Stones;B. Mendy;M. Akanji;A. Laporte;I. Gundogan;Bernardo Silva;Maximo Perrone;E. Haaland;J. Grealish;J. Alvarez,Neto;I. Zabarnyi;M. Vina;L. Kelly;A. Smith;L. Cook;H. Traore;R. Christie;D. Sadi;D. Brooks;D. Ouattara
Liverpool FC:Manchester United,3:2,W. Weghorst,J. Butland;Scott Mctominay,Caoimhin Kelleher,Alexander-Arnold:H. Elliott;Calvin Ramsay:Thiago;Diogo Jota:C. Gakpo;Brandon Williams:Scott Mctominay;D. Van De Beek:Zidane Iqbal,Caoimhin Kelleher;Alexander-Arnold;I. Konate;Calvin Ramsay;J. Matip;Thiago;N. Keita;H. Elliott;Firmino;C. Gakpo;Diogo Jota,J. Butland;V. Lindelof;L. Shaw;Brandon Williams;Teden Mengi;D. Van De Beek;Zidane Iqbal;Scott Mctominay;W. Weghorst;Jadon Sancho;M. Rashford
Leicester City:Newcastle United,3:2,D. Amartey;K. Trippier,P. Dummett;Joe Willock,Y. Tielemans,Y. Tielemans:N. Mendy;Ryan Bertrand:B. Soumare;C. Soyuncu:D. Amartey;D. Burn:Joe Willock;M. Almiron:K. Trippier,Daniel Iversen;C. Soyuncu;Jonathan Evans;D. Amartey;Ryan Bertrand;Y. Tielemans;B. Soumare;N. Mendy;P. Daka;Tete;Harvey Barnes,L. Karius;K. Trippier;D. Burn;J. Lascelles;P. Dummett;Joelinton;M. Almiron;Joe Willock;C. Wilson;Ryan Fraser;A. Isak
Leeds United:Nottingham Forest,4:4,Archie Gray,T. Adams;Junior Firpo;Renan Lodi,Giulian Biancone,Patrick Bamford:R. Koch;T. Adams:Archie Gray;Rodrigo:Gnonto;Junior Firpo:Darko Gyabi;Chris Wood:W. Boly;Giulian Biancone:T. Awoniyi;J. Colback:Renan Lodi;Cafu:A. Ayew,I. Meslier;R. Koch;R. Kristensen;Junior Firpo;P. Struijk;T. Adams;Darko Gyabi;Archie Gray;Patrick Bamford;Gnonto;Rodrigo,W. Hennessey;Renan Lodi;Giulian Biancone;S. Aurier;W. Boly;Cafu;J. Colback;J. Lingard;T. Awoniyi;A. Ayew;Chris Wood
Fulham FC:Southampton FC,1:3,Juan Larios,Luke Harris;S. Armstrong;Samuel Edozie,,T. Ream:Luke Harris;P. Onuachu:Juan Larios;J. Ward-Prowse:M. Salisu;Samuel Edozie:Che Adams,George Wickens;Antonee Robinson;Tosin Adarabioyo;T. Ream;I. Diop;J. Palhinha;Harrison Reed;Luke Harris;Martial Godo;Willian;Harry Wilson,W. Caballero;A. Bella-Kotchap;Kyle Walker-Peters;Juan Larios;M. Salisu;S. Armstrong;Ibrahima Diallo;J. Ward-Prowse;Samuel Edozie;P. Onuachu;Che Adams
Everton FC:Tottenham Hotspur,1:2,Alfie Whiteman,E. Dier,J. Tarkowski,J. Tarkowski:Nathan Patterson;I. Perisic:H. Kane;Lucas Moura:C. Romero,A. Lonergan;Nathan Patterson;Ishe Samuels;J. Tarkowski;Y. Mina;Isaac Price;James Garner;Tom Davies;D. McNeil;E. Simms;Andros Townsend,Alfie Whiteman;C. Romero;Pedro Porro;Japhet Tanganga;E. Dier;I. Perisic;Oliver Skipp;Pape Sarr;H. Kane;Richarlison;Lucas Moura
Crystal Palace:West Ham United,4:1,Nathan Ferguson;Armstrong Okoflex,N. Ahamada;Marc Guehi;Emerson;F. Downes,J. Tomkins,Jack Wells-Morrison:Nathan Ferguson;Jean Mateta:Marc Guehi;W. Zaha:J. Tomkins;Jairo Riedewald:N. Ahamada;T. Kehrer:M. Antonio,Sam Johnstone;Marc Guehi;Chris Richards;J. Tomkins;Nathan Ferguson;N. Ahamada;Jairo Riedewald;Jack Wells-Morrison;J. Ayew;Jean Mateta;W. Zaha,A. Areola;V. Coufal;B. Johnson;T. Kehrer;Emerson;F. Downes;D. Rice;Armstrong Okoflex;M. Antonio;J. Bowen;Divin Mubama
Chelsea FC:Wolves,4:2,Marcus Bettinelli;M. Kilman,,,H. Ziyech:C. Azpilicueta;C. Pulisic:Reece James;B. Badiashile:R. Loftus-Cheek;P. Aubameyang:Carney Chukwuemeka;Harvey Griffiths:C. Dawson;Pedro Neto:M. Kilman,Marcus Bettinelli;B. Badiashile;K. Koulibaly;Reece James;C. Azpilicueta;H. Ziyech;Carney Chukwuemeka;R. Loftus-Cheek;C. Pulisic;R. Sterling;P. Aubameyang,Jose Sa;Hugo Bueno;C. Dawson;M. Kilman;N. Collins;Harvey Griffiths;Joao Gomes;Boubacar Traore;Matheus Cunha;R. Jimenez;Pedro Neto
Brighton FC:Arsenal FC,0:4,Oddel Offiah,Martinelli;M. Odegaard,,Takehiro Tomiyasu:K. Tierney;Martinelli:B. White;Reiss Nelson:Gabriel Jesus;Ethan Nwaneri:Smith Rowe,Thomas Mcgill;P. Estupinan;Jan Van Hecke;Levi Colwill;Oddel Offiah;B. Gilmour;J. Moder;S. March;Julio Enciso;D. Undav;Danny Welbeck,M. Turner;Reuell Walters;B. White;K. Tierney;Takehiro Tomiyasu;M. Odegaard;Ethan Nwaneri;Smith Rowe;Reiss Nelson;Gabriel Jesus;Martinelli
Brentford FC:Aston Villa,1:5,Kadan Young,,K. Ajer,Y. Wissa:A. Hickey;M. Cash:Sebastian Revan;L. Dendoncker:Travis Patterson;Kadan Young:J. Duran;J. Ramsey:E. Konsa;B. Kamara:L. Bailey,M. Cox;E. Pinnock;B. Mee;K. Ajer;A. Hickey;S. Baptiste;V. Janelt;S. Ghoddos;M. Olakigbe;K. Schade;Y. Wissa,Oliwier Zych;Sebastian Revan;E. Konsa;Travis Patterson;M. Cash;L. Dendoncker;J. Ramsey;B. Kamara;Kadan Young;L. Bailey;J. Duran
