match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Brentford FC,4:3,D. Brooks,A. Hickey;K. Lewis-Potter,,J. Lerma:D. Brooks;M. Tavernier:Daniel Adu-Adjei;L. Kelly:R. Fredericks;R. Christie:A. Smith;R. Henry:K. Lewis-Potter;A. Hickey:Josh Dasilva;I. Toney:K. Ajer,D. Randolph;R. Fredericks;L. Kelly;I. Zabarnyi;A. Smith;J. Lerma;M. Tavernier;R. Christie;D. Brooks;Daniel Adu-Adjei;J. Anthony,T. Strakosha;K. Ajer;A. Hickey;R. Henry;P. Jansson;O. Onyeka;T. Crama;Josh Dasilva;M. Olakigbe;K. Lewis-Potter;I. Toney
Brighton FC:Aston Villa,2:5,Oliwier Zych,Tommi O'reilly,,Evan Ferguson:Imari Samuels;Julio Enciso:P. Gross;O. Watkins:Sil Swinkels;Kadan Young:T. Mings;Douglas Luiz:Travis Patterson;B. Kamara:Sebastian Revan;P. Coutinho:Tommi O'reilly,R. Sanchez;Imari Samuels;P. Estupinan;J. Veltman;Oddel Offiah;B. Gilmour;F. Buonanotte;P. Gross;Julio Enciso;Evan Ferguson;D. Undav,Oliwier Zych;Travis Patterson;Sil Swinkels;T. Mings;Sebastian Revan;B. Kamara;Tommi O'reilly;Douglas Luiz;P. Coutinho;Kadan Young;O. Watkins
Chelsea FC:Arsenal FC,3:5,,Reiss Nelson;W. Saliba,G. Xhaka,P. Aubameyang:E. Fernandez;M. Cucurella:C. Pulisic;Reece James:Harvey Vale;Reiss Nelson:L. Trossard;G. Xhaka:Jakub Kiwior;Thomas:K. Tierney;Matthew Smith:Ethan Nwaneri;W. Saliba:Edward Nketiah,E. Mendy;Ben Chilwell;Reece James;B. Badiashile;M. Cucurella;Mason Mount;E. Fernandez;Harvey Vale;P. Aubameyang;Noni Madueke;C. Pulisic,A. Ramsdale;Jakub Kiwior;Matthew Smith;K. Tierney;W. Saliba;Thomas;Ethan Nwaneri;G. Xhaka;Edward Nketiah;L. Trossard;Reiss Nelson
Crystal Palace:Wolves,4:3,Nathan Ferguson;Joao Gomes,Chris Richards;O. Edouard;D. Bentley,,J. Andersen:N. Ahamada;Jean Mateta:Nathan Ferguson;M. Olise:J. Ayew;David Ozoh:Chris Richards;Dexter Lembikisa:Joao Gomes;M. Kilman:R. Jimenez;Chiquinho:Harvey Griffiths,Joe Whitworth;Nathan Ferguson;J. Andersen;Chris Richards;J. Tomkins;M. Olise;David Ozoh;N. Ahamada;J. Ayew;Jean Mateta;O. Edouard,D. Bentley;Jonny;Dexter Lembikisa;Joseph Hodge;M. Kilman;Joao Gomes;Ruben Neves;Harvey Griffiths;R. Jimenez;Pedro Neto;Chiquinho
Everton FC:West Ham United,1:3,,Andros Townsend;G. Scamacca,D. McNeil,Andros Townsend:Dominic Calvert-Lewin;Angelo Ogbonna:B. Johnson;Danny Ings:M. Lanzini;N. Aguerd:Emerson,A. Lonergan;V. Mykolenko;Ruben Vinagre;Mason Holgate;Nathan Patterson;Isaac Price;Kyle John;Alex Iwobi;D. McNeil;Dominic Calvert-Lewin;Andros Townsend,Joseph Anang;Angelo Ogbonna;Emerson;B. Johnson;N. Aguerd;M. Lanzini;D. Rice;P. Fornals;G. Scamacca;Danny Ings;Gnaly Cornet
Fulham FC:Tottenham Hotspur,2:3,S. Duffy,Alfie Devine,,Harry Wilson:T. Ream;Antonee Robinson:Terry Ablade;Emerson Royal:Romaine Mundle;Japhet Tanganga:Richarlison;C. Lenglet:George Abbott,B. Leno;T. Ream;Tosin Adarabioyo;Antonee Robinson;S. Duffy;Kristian Sekularac;T. Francois;J. Palhinha;A. Mitrovic;Harry Wilson;Terry Ablade,H. Lloris;Japhet Tanganga;C. Lenglet;George Abbott;Emerson Royal;Romaine Mundle;Pape Sarr;Alfie Devine;H. Kane;Richarlison;Lucas Moura
Leeds United:Southampton FC,0:5,,Patrick Bamford;T. Adams;A. Bella-Kotchap,,M. Salisu:Ibrahima Diallo;Kyle Walker-Peters:Theo Walcott;J. Ward-Prowse:K. Sulemana;R. Perraud:Joe Aribo;A. Bella-Kotchap:Adam Armstrong,Joel Robles;Diogo Monteiro;P. Struijk;S. Dallas;Junior Firpo;T. Adams;W. Mckennie;Marc Roca;Sonny Perkins;Georginio Rutter;Patrick Bamford,Alex Mccarthy;Kyle Walker-Peters;A. Bella-Kotchap;M. Salisu;R. Perraud;J. Ward-Prowse;Ibrahima Diallo;Joe Aribo;K. Sulemana;Adam Armstrong;Theo Walcott
Leicester City:Nottingham Forest,4:1,,Harvey Barnes;Alexander Mighten,K. Iheanacho;H. Toffolo,Lewis Brunt:Harry Souttar;K. Iheanacho:L. Thomas;J. Justin:D. Praet;Harvey Barnes:N. Mendy;H. Toffolo:Felipe,A. Smithies;L. Thomas;Harry Souttar;J. Justin;Lewis Brunt;N. Mendy;D. Praet;W. Ndidi;K. Iheanacho;J. Vardy;Harvey Barnes,George Shelvey;H. Toffolo;J. Worrall;Felipe;W. Boly;R. Yates;R. Freuler;H. Arter;Lyle Taylor;T. Awoniyi;Alexander Mighten
Liverpool FC:Newcastle United,0:5,Joe Willock,Rhys Williams,,Matthew Longstaff:Ryan Fraser;B. Guimaraes:A. Gordon;Harrison Ashby:J. Lascelles;Joe Willock:D. Burn;A. Saint-Maximin:J. Manquillo,Caoimhin Kelleher;K. Tsimikas;Rhys Williams;Joe Gomez;Alexander-Arnold;N. Keita;H. Elliott;J. Milner;C. Gakpo;Firmino;Diogo Jota,M. Dubravka;J. Lascelles;D. Burn;Harrison Ashby;J. Manquillo;Matthew Longstaff;B. Guimaraes;Joe Willock;A. Gordon;Ryan Fraser;A. Saint-Maximin
Man. City:Manchester United,1:5,,A. Elanga;Brandon Williams,Alejandro Garnacho,J. Alvarez:Rico Lewis;Lisandro Martinez:Kobbie Mainoo;A. Martial:A. Elanga;Teden Mengi:Brandon Williams;Alejandro Garnacho:Fred;D. Dalot:Casemiro,S. Carson;Rico Lewis;K. Walker;M. Akanji;Ruben Dias;Bernardo Silva;P. Foden;K. De Bruyne;R. Mahrez;E. Haaland;J. Alvarez,T. Heaton;Teden Mengi;Lisandro Martinez;Brandon Williams;D. Dalot;Kobbie Mainoo;Casemiro;Fred;Alejandro Garnacho;A. Martial;A. Elanga
