match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Liverpool FC,5:3,R. Fredericks;Ben Doak,Dominic Solanke;Diogo Jota,P. Billing,M. Vina:J. Stanislas;Jack Stephens:D. Brooks;E. Pollock:R. Fredericks;P. Billing:Dominic Solanke;I. Zabarnyi:J. Lerma;A. Oxlade-Chamberlain:Calvin Ramsay;Diogo Jota:I. Konate;Ben Doak:Joe Gomez,C. Plain;R. Fredericks;Jack Stephens;I. Zabarnyi;M. Vina;E. Pollock;P. Billing;J. Lerma;Dominic Solanke;D. Brooks;J. Stanislas,Harvey Davies;A. Robertson;I. Konate;Calvin Ramsay;Joe Gomez;A. Oxlade-Chamberlain;J. Milner;Ben Doak;Diogo Jota;Firmino;C. Gakpo
Man. City:Leicester City,4:5,,J. Alvarez;Rico Lewis;W. Ndidi;D. Praet,R. Mahrez,Ruben Dias:N. Ake;C. Palmer:Rico Lewis;A. Laporte:K. Phillips;J. Alvarez:Benjamin Knight;W. Ndidi:V. Kristiansen;Joe Wormleighton:W. Faes;Harvey Barnes:Kiernan Dewsbury-Hall;J. Vardy:Lewis Brunt;P. Daka:D. Praet,S. Ortega;N. Ake;A. Laporte;Ruben Dias;Rico Lewis;C. Palmer;K. Phillips;I. Gundogan;Benjamin Knight;R. Mahrez;J. Alvarez,D. Ward;V. Kristiansen;W. Faes;Joe Wormleighton;Lewis Brunt;W. Ndidi;Kiernan Dewsbury-Hall;D. Praet;P. Daka;J. Vardy;Harvey Barnes
Manchester United:Leeds United,3:4,Luke Ayling,L. Shaw;Marc Roca,M. Sabitzer,Alejandro Garnacho:R. Varane;F. Pellistri:Marc Jurado;Scott Mctominay:M. Sabitzer;T. Adams:P. Struijk;W. Mckennie:Rodrigo;Marc Roca:Sam Greenwood;Luke Ayling:Liam Cooper,J. Butland;Rhys Bennett;Marc Jurado;L. Shaw;R. Varane;Bruno Fernandes;Scott Mctominay;M. Sabitzer;F. Pellistri;Jadon Sancho;Alejandro Garnacho,I. Meslier;R. Koch;Liam Cooper;P. Struijk;Luke Ayling;W. Mckennie;Marc Roca;T. Adams;Sam Greenwood;Rodrigo;Gnonto
Newcastle United:Fulham FC,2:1,Tosin Adarabioyo,F. Schar;A. Isak,T. Ream,J. Lewis:F. Schar;M. Ritchie:Matt Targett;Terry Ablade:Harry Wilson,L. Karius;Matt Targett;F. Schar;J. Lewis;P. Dummett;M. Ritchie;Matthew Longstaff;Joe Willock;A. Saint-Maximin;J. Murphy;A. Isak,George Wickens;L. Kurzawa;Antonee Robinson;T. Ream;Tosin Adarabioyo;J. Palhinha;Kristian Sekularac;T. Cairney;Harry Wilson;Terry Ablade;A. Mitrovic
Nottingham Forest:Everton FC,1:5,,E. Dennis;S. McKenna;V. Mykolenko,Keylor Navas,M. Niakhate:N. Williams;D. McNeil:A. Doucoure;James Garner:B. Godfrey;V. Mykolenko:N. Maupay;C. Coady:Alex Iwobi;Dominic Calvert-Lewin:Ruben Vinagre,Keylor Navas;S. McKenna;N. Williams;M. Niakhate;Felipe;J. Colback;M. Gibbs-White;H. Arter;E. Dennis;Alexander Mighten;A. Ayew,A. Lonergan;B. Godfrey;C. Coady;Ruben Vinagre;V. Mykolenko;A. Doucoure;James Garner;Alex Iwobi;Dominic Calvert-Lewin;N. Maupay;D. McNeil
Southampton FC:Crystal Palace,4:2,M. Salisu;W. Zaha,M. Olise,James Bree,Kyle Walker-Peters:Adam Armstrong;Tino Livramento:K. Sulemana;Ainsley Maitland:James Bree;J. Ward-Prowse:P. Onuachu;J. Ward:M. Olise;Jean Mateta:O. Edouard,W. Caballero;Tino Livramento;M. Salisu;James Bree;Kyle Walker-Peters;S. Armstrong;J. Ward-Prowse;Ainsley Maitland;P. Onuachu;Adam Armstrong;K. Sulemana,Owen Goodman;T. Mitchell;Marc Guehi;J. Ward;N. Clyne;Jairo Riedewald;M. Olise;J. Mcarthur;W. Zaha;Jean Mateta;O. Edouard
Tottenham Hotspur:Chelsea FC,2:5,,Emerson Royal;M. Kovacic;C. Azpilicueta,C. Pulisic,R. Sessegnon:I. Perisic;Oliver Skipp:Lucas Moura;M. Kovacic:Joao Felix;C. Azpilicueta:K. Havertz;Reece James:B. Badiashile;M. Cucurella:N. Kante;C. Pulisic:Omari Hutchinson,H. Lloris;C. Romero;C. Lenglet;Emerson Royal;E. Dier;Oliver Skipp;R. Sessegnon;I. Perisic;Heung-Min Son;A. Danjuma;Lucas Moura,Gabriel Slonina;M. Cucurella;Reece James;C. Azpilicueta;B. Badiashile;N. Kante;K. Havertz;M. Kovacic;Joao Felix;C. Pulisic;Omari Hutchinson
West Ham United:Brighton FC,0:4,Angelo Ogbonna;J. Steele,M. Lanzini;L. Dunk,Divin Mubama;Adam Webster,T. Lamptey:Julio Enciso;Evan Ferguson:F. Buonanotte;Yasin Ayari:L. Dunk;K. Mitoma:P. Gross,A. Areola;Angelo Ogbonna;T. Kehrer;Kurt Zouma;Emerson;D. Rice;M. Lanzini;P. Fornals;Danny Ings;M. Antonio;Divin Mubama,J. Steele;T. Lamptey;Adam Webster;Imari Samuels;L. Dunk;F. Buonanotte;Yasin Ayari;P. Gross;K. Mitoma;Julio Enciso;Evan Ferguson
Wolves:Brentford FC,5:2,N. Semedo;K. Lewis-Potter,S. Baptiste,N. Collins,N. Collins:Dexter Lembikisa;Matheus Nunes:Pedro Neto;Nathan Fraser:Joao Gomes;R. Jimenez:Hugo Bueno;Boubacar Traore:N. Semedo;M. Olakigbe:M. Jensen;S. Baptiste:B. Mee,Louie Moulden;Hugo Bueno;N. Collins;Dexter Lembikisa;N. Semedo;Joao Gomes;Matheus Nunes;Boubacar Traore;R. Jimenez;Nathan Fraser;Pedro Neto,D. Raya;M. Roerslev;R. Henry;E. Pinnock;B. Mee;M. Jensen;Y. Yarmolyuk;S. Baptiste;B. Mbeumo;K. Lewis-Potter;M. Olakigbe
Arsenal FC:Aston Villa,0:5,Gabriel Jesus;T. Mings,Emiliano Martinez;Diego Carlos,,B. Kamara:Diego Carlos;J. Duran:T. Mings;Douglas Luiz:O. Watkins;M. Cash:E. Konsa;P. Coutinho:L. Dendoncker,Karl Hein;B. White;W. Saliba;Gabriel Magalhaes;Lino Sousa;Amario Cozier;Smith Rowe;Fabio Vieira;L. Trossard;Reiss Nelson;Gabriel Jesus,Emiliano Martinez;M. Cash;Diego Carlos;E. Konsa;T. Mings;L. Dendoncker;Douglas Luiz;B. Kamara;O. Watkins;P. Coutinho;J. Duran
