match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Leeds United,0:5,Daniel Adu-Adjei;Rodrigo,L. Kelly;A. Semenyo;R. Koch,H. Traore,Rodrigo:Crysencio Summerville;M. Wober:R. Koch;W. Mckennie:Liam Cooper;S. Dallas:T. Adams;Darko Gyabi:Georginio Rutter,Neto;Jack Stephens;L. Kelly;A. Smith;M. Vina;H. Traore;P. Billing;M. Tavernier;J. Anthony;A. Semenyo;Daniel Adu-Adjei,Joel Robles;S. Dallas;R. Koch;M. Wober;Liam Cooper;W. Mckennie;Darko Gyabi;T. Adams;Rodrigo;Crysencio Summerville;Georginio Rutter
Leicester City:Fulham FC,5:2,,V. Kristiansen,B. Soumare,V. Kristiansen:Tete;B. Soumare:Harry Souttar;Kiernan Dewsbury-Hall:W. Faes;Harvey Barnes:K. Iheanacho;J. Justin:Sammy Braybrooke;Daniel James:B. Reid;T. Ream:T. Francois,A. Smithies;J. Justin;W. Faes;Harry Souttar;V. Kristiansen;B. Soumare;Kiernan Dewsbury-Hall;Sammy Braybrooke;K. Iheanacho;Harvey Barnes;Tete,M. Rodak;Charlie Robinson;Antonee Robinson;T. Ream;Stefan Parkes;B. Reid;A. Pereira;T. Francois;M. Solomon;Vinicius;Daniel James
Liverpool FC:Everton FC,3:1,Demarai Gray,Ishe Samuels;Stanley Mills,Adrian,Curtis Jones:V. Van Dijk;I. Konate:Calvin Ramsay;N. Keita:Stefan Bajcetic;Ishe Samuels:Stanley Mills,Adrian;Rhys Williams;I. Konate;Calvin Ramsay;V. Van Dijk;Stefan Bajcetic;Curtis Jones;N. Keita;M. Salah;D. Nunez;Firmino,Jordan Pickford;Ishe Samuels;Mason Holgate;V. Mykolenko;C. Coady;I. Gueye;A. Doucoure;Stanley Mills;Andros Townsend;D. McNeil;Demarai Gray
Man. City:Crystal Palace,1:3,,S. Ortega;J. Ayew,,J. Ayew:OWN_GOAL;J. Andersen:David Ozoh;Chris Richards:C. Doucoure;N. Clyne:Marc Guehi,S. Ortega;S. Gomez;Ruben Dias;Rico Lewis;J. Stones;C. Palmer;Rodri;Bernardo Silva;J. Grealish;Benjamin Knight;E. Haaland,Owen Goodman;J. Andersen;Marc Guehi;Chris Richards;N. Clyne;David Ozoh;C. Doucoure;Jack Wells-Morrison;Jean Mateta;O. Edouard;J. Ayew
Manchester United:Chelsea FC,3:4,Joao Felix,,Conor Gallagher,D. Dalot:A. Martial;H. Maguire:M. Rashford;Zidane Iqbal:C. Eriksen;C. Pulisic:C. Azpilicueta;Joao Felix:D. Zakaria;Conor Gallagher:E. Fernandez;K. Koulibaly:B. Badiashile,D. De Gea;D. Dalot;R. Varane;H. Maguire;A. Wan-Bissaka;Casemiro;C. Eriksen;Zidane Iqbal;M. Rashford;Alejandro Garnacho;A. Martial,Kepa;B. Badiashile;C. Azpilicueta;Ben Chilwell;K. Koulibaly;E. Fernandez;Conor Gallagher;D. Zakaria;C. Pulisic;David Fofana;Joao Felix
Newcastle United:Brighton FC,3:0,E. Krafth,Levi Colwill,,S. Botman:Harrison Ashby;A. Gordon:D. Burn;E. Anderson:Ryan Fraser,M. Dubravka;D. Burn;Harrison Ashby;E. Krafth;S. Botman;E. Anderson;M. Almiron;M. Ritchie;Ryan Fraser;A. Gordon;A. Isak,R. Sanchez;J. Veltman;Levi Colwill;Imari Samuels;Adam Webster;F. Buonanotte;A. Mac Allister;P. Gross;K. Mitoma;D. Undav;Evan Ferguson
Nottingham Forest:Brentford FC,1:1,,B. Mee,Gustavo Scarpa,Chris Wood:R. Yates;F. Stevens:B. Mee,Dean Henderson;W. Boly;H. Toffolo;S. Aurier;Omar Richards;R. Yates;Gustavo Scarpa;J. Colback;S. Surridge;Alexander Mighten;Chris Wood,M. Cox;B. Mee;A. Hickey;F. Stevens;E. Pinnock;C. Norgaard;V. Janelt;Y. Yarmolyuk;B. Mbeumo;Y. Wissa;M. Damsgaard
Southampton FC:Aston Villa,5:5,D. Caleta-Car,Sekou Mara;A. Young,S. Armstrong,Joe Aribo:C. Alcaraz;Moussa Djenepo:James Bree;Tino Livramento:D. Caleta-Car;A. Bella-Kotchap:Sekou Mara;S. Armstrong:K. Sulemana;E. Konsa:E. Buendia;Douglas Luiz:L. Dendoncker;Tommi O'reilly:Travis Patterson;A. Young:Alex Moreno;B. Traore:J. Duran,Alex Mccarthy;Tino Livramento;A. Bella-Kotchap;D. Caleta-Car;James Bree;C. Alcaraz;S. Armstrong;Joe Aribo;Sekou Mara;Moussa Djenepo;K. Sulemana,James Wright;A. Young;Travis Patterson;Alex Moreno;E. Konsa;L. Dendoncker;Douglas Luiz;Tommi O'reilly;J. Duran;E. Buendia;B. Traore
Tottenham Hotspur:Arsenal FC,4:2,Martinelli,Matthew Craig;W. Saliba,Richarlison;O. Zinchenko,Emerson Royal:E. Dier;Richarlison:Matthew Craig;R. Bentancur:C. Lenglet;A. Danjuma:Pierre-Emile Hojbjerg;Smith Rowe:K. Tierney;Reiss Nelson:B. White,H. Lloris;C. Lenglet;Emerson Royal;B. Davies;E. Dier;R. Bentancur;Matthew Craig;Pierre-Emile Hojbjerg;Richarlison;Lucas Moura;A. Danjuma,Karl Hein;K. Tierney;W. Saliba;O. Zinchenko;B. White;M. Elneny;Amario Cozier;Smith Rowe;Reiss Nelson;Martinelli;Edward Nketiah
West Ham United:Wolves,3:1,L. Fabianski;Boubacar Traore,Emerson,F. Downes;Chiquinho,Emerson:T. Kehrer;B. Johnson:A. Cresswell;T. Soucek:S. Benrahma;Chiquinho:Boubacar Traore,L. Fabianski;Emerson;T. Kehrer;A. Cresswell;B. Johnson;T. Soucek;Kaelan Casey;F. Downes;M. Antonio;Gnaly Cornet;S. Benrahma,Jose Sa;N. Collins;Jonny;Hugo Bueno;Dexter Lembikisa;Ruben Neves;Joao Gomes;Boubacar Traore;Diego Costa;Chiquinho;S. Kalajdzic
