match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
West Ham United:AFC Bournemouth,2:2,S. Benrahma,Danny Ings;T. Soucek,T. Kehrer;C. Mepham,A. Cresswell:P. Fornals;S. Benrahma:Divin Mubama;Michael Dacosta:J. Lerma;Jack Stacey:J. Zemura,A. Areola;A. Cresswell;Angelo Ogbonna;N. Aguerd;T. Kehrer;P. Fornals;T. Soucek;M. Lanzini;S. Benrahma;Divin Mubama;Danny Ings,C. Plain;Jack Stephens;J. Zemura;Jack Stacey;C. Mepham;J. Lerma;M. Tavernier;L. Cook;D. Ouattara;Michael Dacosta;Dominic Solanke
Tottenham Hotspur:Wolves,0:1,Alfie Devine;Matheus Nunes,Matthew Craig;Ruben Neves;N. Semedo,,Toti Gomes:Joao Gomes,H. Lloris;C. Lenglet;B. Davies;D. Sanchez;E. Dier;Romaine Mundle;Matthew Craig;Alfie Devine;H. Kane;Lucas Moura;Richarlison,Louie Moulden;N. Collins;Toti Gomes;N. Semedo;Dexter Lembikisa;Joao Gomes;Ruben Neves;Matheus Nunes;Pedro Neto;D. Podence;S. Kalajdzic
Southampton FC:Arsenal FC,5:1,Lino Sousa,Romeo Lavia;G. Bazunu,,Romeo Lavia:Samuel Edozie;J. Ward-Prowse:D. Caleta-Car;S. Armstrong:Adam Armstrong;P. Onuachu:R. Perraud;J. Bednarek:Kyle Walker-Peters;Matthew Smith:Lino Sousa,G. Bazunu;R. Perraud;D. Caleta-Car;Kyle Walker-Peters;J. Bednarek;S. Armstrong;Romeo Lavia;J. Ward-Prowse;Adam Armstrong;P. Onuachu;Samuel Edozie,M. Turner;Matthew Smith;Jakub Kiwior;Lino Sousa;K. Tierney;M. Odegaard;M. Elneny;Jorginho;Gabriel Jesus;Edward Nketiah;Reiss Nelson
Nottingham Forest:Aston Villa,2:2,H. Toffolo,M. Gibbs-White,L. Dendoncker,Alexander Mighten:H. Toffolo;S. McKenna:Danilo;Tommi O'reilly:B. Kamara;Sebastian Revan:L. Dendoncker,W. Hennessey;S. Cook;S. McKenna;H. Toffolo;N. Williams;C. Kouyate;M. Gibbs-White;Danilo;S. Surridge;A. Ayew;Alexander Mighten,R. Olsen;Sil Swinkels;M. Cash;Sebastian Revan;L. Digne;B. Kamara;L. Dendoncker;Tommi O'reilly;L. Bailey;E. Buendia;Kadan Young
Newcastle United:Brentford FC,3:4,M. Ritchie;D. Raya,K. Trippier;D. Burn,,A. Isak:S. Botman;D. Burn:A. Saint-Maximin;E. Anderson:E. Krafth;V. Janelt:K. Lewis-Potter;Y. Wissa:E. Pinnock;A. Hickey:M. Jensen;M. Roerslev:M. Olakigbe,Nick Pope;S. Botman;E. Krafth;K. Trippier;D. Burn;M. Ritchie;E. Anderson;Matthew Longstaff;A. Gordon;A. Saint-Maximin;A. Isak,D. Raya;K. Ajer;A. Hickey;E. Pinnock;M. Roerslev;T. Crama;V. Janelt;M. Jensen;Y. Wissa;M. Olakigbe;K. Lewis-Potter
Manchester United:Brighton FC,2:3,M. Sabitzer,T. Heaton;Thomas Mcgill,Kobbie Mainoo,W. Weghorst:Lisandro Martinez;Kobbie Mainoo:D. Dalot;Jan Van Hecke:K. Mitoma;Evan Ferguson:S. March;T. Lamptey:Danny Welbeck,T. Heaton;Marc Jurado;D. Dalot;Lisandro Martinez;Brandon Williams;Kobbie Mainoo;M. Sabitzer;Bruno Fernandes;M. Rashford;A. Martial;W. Weghorst,Thomas Mcgill;Levi Colwill;T. Lamptey;Jan Van Hecke;Adam Webster;Andrew Moran;S. March;Cameron Peupion;K. Mitoma;Danny Welbeck;Evan Ferguson
Man. City:Chelsea FC,4:3,,Rodri;I. Gundogan;Trevoh Chalobah,,J. Grealish:I. Gundogan;Rodri:M. Akanji;Ruben Dias:N. Ake;S. Gomez:Maximo Perrone;Trevoh Chalobah:D. Zakaria;Omari Hutchinson:K. Havertz;C. Azpilicueta:M. Cucurella,S. Ortega;N. Ake;M. Akanji;S. Gomez;Ruben Dias;Rodri;Maximo Perrone;I. Gundogan;J. Grealish;Benjamin Knight;R. Mahrez,Kepa;C. Azpilicueta;B. Badiashile;M. Cucurella;Trevoh Chalobah;K. Havertz;Carney Chukwuemeka;D. Zakaria;David Fofana;Omari Hutchinson;Noni Madueke
Liverpool FC:Crystal Palace,2:4,J. Matip,Fabio Carvalho;Nathan Ferguson;Jean Mateta,,Stefan Bajcetic:Fabio Carvalho;Nathaniel Phillips:D. Nunez;Jack Wells-Morrison:J. Tomkins;Jean Mateta:J. Andersen;E. Eze:O. Edouard;Nathan Ferguson:Marc Guehi,Harvey Davies;Calvin Ramsay;Alexander-Arnold;Nathaniel Phillips;J. Matip;Fabio Carvalho;A. Oxlade-Chamberlain;Stefan Bajcetic;L. Diaz;D. Nunez;Firmino,Owen Goodman;J. Andersen;J. Tomkins;Nathan Ferguson;Marc Guehi;Jack Wells-Morrison;E. Eze;David Ozoh;J. Ayew;Jean Mateta;O. Edouard
Leicester City:Everton FC,1:1,Tete,Daniel Iversen;Mason Holgate,Kiernan Dewsbury-Hall;Dominic Calvert-Lewin,Sammy Braybrooke:Kiernan Dewsbury-Hall;Y. Tielemans:OWN_GOAL,Daniel Iversen;T. Castagne;Ryan Bertrand;Ricardo Pereira;V. Kristiansen;Kiernan Dewsbury-Hall;Sammy Braybrooke;Y. Tielemans;J. Vardy;K. Iheanacho;Tete,A. Begovic;V. Mykolenko;Mason Holgate;B. Godfrey;Ishe Samuels;James Garner;Isaac Price;A. Onana;Dominic Calvert-Lewin;Andros Townsend;Demarai Gray
Leeds United:Fulham FC,4:5,Sam Greenwood;T. Francois,W. Mckennie;Archie Gray;Daniel James;L. Kurzawa,,Darko Gyabi:W. Mckennie;M. Wober:Sam Greenwood;Luke Ayling:Archie Gray;S. Dallas:Gnonto;M. Solomon:T. Francois;T. Ream:K. Tete;Willian:Daniel James;Stefan Parkes:Harrison Reed;L. Kurzawa:B. Reid,I. Meslier;M. Wober;Luke Ayling;S. Dallas;Liam Cooper;Darko Gyabi;W. Mckennie;Archie Gray;Gnonto;Sam Greenwood;Sonny Perkins,B. Leno;T. Ream;K. Tete;L. Kurzawa;Stefan Parkes;Harrison Reed;B. Reid;T. Francois;Daniel James;Willian;M. Solomon
