match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Tottenham Hotspur,5:0,Heung-Min Son,E. Dier;Romaine Mundle,R. Fredericks,M. Vina:A. Smith;R. Fredericks:R. Christie;K. Moore:I. Zabarnyi;P. Billing:J. Anthony;A. Semenyo:M. Tavernier,D. Randolph;I. Zabarnyi;M. Vina;R. Fredericks;A. Smith;P. Billing;M. Tavernier;R. Christie;K. Moore;J. Anthony;A. Semenyo,Alfie Whiteman;D. Sanchez;E. Dier;B. Davies;Emerson Royal;Matthew Craig;Pierre-Emile Hojbjerg;Romaine Mundle;D. Kulusevski;Heung-Min Son;Lucas Moura
West Ham United:Southampton FC,0:4,Alex Mccarthy,,Divin Mubama,Joe Aribo:D. Caleta-Car;Juan Larios:Ainsley Maitland;R. Perraud:J. Bednarek;Sekou Mara:Samuel Edozie,A. Areola;Emerson;V. Coufal;N. Aguerd;Angelo Ogbonna;M. Lanzini;P. Fornals;Armstrong Okoflex;Divin Mubama;G. Scamacca;Danny Ings,Alex Mccarthy;R. Perraud;Juan Larios;D. Caleta-Car;J. Bednarek;C. Alcaraz;Ainsley Maitland;Joe Aribo;Sekou Mara;Samuel Edozie;P. Onuachu
Wolves:Nottingham Forest,1:0,Lyle Taylor,Pedro Neto,Diego Costa,Joao Gomes:C. Dawson,Louie Moulden;Hugo Bueno;C. Dawson;R. Ait-Nouri;M. Kilman;Boubacar Traore;Joao Moutinho;Joao Gomes;Pedro Neto;Diego Costa;Chiquinho,Keylor Navas;N. Williams;Giulian Biancone;Felipe;Renan Lodi;H. Arter;J. Lingard;Orel Mangala;Lyle Taylor;A. Ayew;S. Surridge
Arsenal FC:Newcastle United,3:1,M. Turner;J. Manquillo,Reiss Nelson;P. Dummett,,B. White:Takehiro Tomiyasu;Ethan Nwaneri:Reuell Walters;M. Odegaard:M. Elneny;J. Murphy:C. Wilson,M. Turner;Takehiro Tomiyasu;O. Zinchenko;Reuell Walters;B. White;M. Odegaard;Ethan Nwaneri;M. Elneny;L. Trossard;Martinelli;Reiss Nelson,L. Karius;J. Manquillo;F. Schar;J. Lewis;P. Dummett;S. Longstaff;Joelinton;Matthew Longstaff;C. Wilson;J. Murphy;A. Gordon
Aston Villa:Manchester United,1:0,L. Bailey;R. Varane,,,Diego Carlos:B. Kamara,James Wright;Sil Swinkels;Alex Moreno;Diego Carlos;T. Mings;Douglas Luiz;J. Mcginn;B. Kamara;B. Traore;E. Buendia;L. Bailey,Nathan Bishop;T. Malacia;R. Varane;H. Maguire;Marc Jurado;Bruno Fernandes;Zidane Iqbal;C. Eriksen;W. Weghorst;M. Greenwood;F. Pellistri
Brentford FC:Man. City,1:5,,A. Hickey;Benjamin Knight;Ruben Dias,Zanka;J. Stones,O. Onyeka:K. Schade;J. Stones:J. Alvarez;J. Grealish:Bernardo Silva;C. Palmer:Benjamin Knight;I. Gundogan:Ruben Dias;S. Gomez:M. Akanji,T. Strakosha;A. Hickey;Zanka;M. Roerslev;B. Mee;R. Trevitt;S. Ghoddos;O. Onyeka;M. Damsgaard;K. Lewis-Potter;K. Schade,S. Ortega;Ruben Dias;S. Gomez;J. Stones;M. Akanji;C. Palmer;I. Gundogan;Bernardo Silva;J. Grealish;Benjamin Knight;J. Alvarez
Brighton FC:Liverpool FC,2:3,Adam Webster;Ben Doak,Diogo Jota,,L. Dunk:D. Undav;Adam Webster:K. Mitoma;Calvin Ramsay:Firmino;Rhys Williams:Joe Gomez;Stefan Bajcetic:K. Tsimikas,J. Steele;J. Veltman;Adam Webster;L. Dunk;Imari Samuels;Yasin Ayari;A. Lallana;F. Buonanotte;Evan Ferguson;K. Mitoma;D. Undav,Caoimhin Kelleher;K. Tsimikas;Rhys Williams;Calvin Ramsay;Joe Gomez;Ben Doak;Curtis Jones;Stefan Bajcetic;Diogo Jota;Firmino;C. Gakpo
Chelsea FC:Leicester City,5:0,W. Fofana;Joe Wormleighton,Noni Madueke,Kepa,Noni Madueke:W. Fofana;K. Havertz:Thiago Silva;E. Fernandez:Trevoh Chalobah;M. Kovacic:Reece James;M. Mudryk:P. Aubameyang,Kepa;Thiago Silva;W. Fofana;Trevoh Chalobah;Reece James;K. Havertz;E. Fernandez;M. Kovacic;P. Aubameyang;Noni Madueke;M. Mudryk,A. Smithies;Joe Wormleighton;C. Soyuncu;Harry Souttar;J. Justin;B. Soumare;Y. Tielemans;D. Praet;J. Vardy;K. Iheanacho;P. Daka
Crystal Palace:Leeds United,3:0,,Mateo Joseph;M. Wober,,J. Andersen:W. Zaha;J. Ward:J. Ayew;M. Olise:N. Clyne,V. Guaita;J. Andersen;J. Tomkins;N. Clyne;J. Ward;A. Lokonga;M. Olise;C. Doucoure;Jean Mateta;J. Ayew;W. Zaha,Joel Robles;M. Wober;P. Struijk;Diogo Monteiro;R. Kristensen;T. Adams;Archie Gray;Brenden Aaronson;Georginio Rutter;Gnonto;Mateo Joseph
Everton FC:Fulham FC,1:2,N. Maupay,Y. Mina;Tosin Adarabioyo,,Demarai Gray:A. Onana;Vinicius:Tosin Adarabioyo;L. Kurzawa:B. Reid,Jordan Pickford;Ruben Vinagre;Mason Holgate;Y. Mina;Seamus Coleman;Tom Davies;A. Onana;A. Doucoure;Demarai Gray;N. Maupay;E. Simms,George Wickens;K. Tete;Antonee Robinson;L. Kurzawa;Tosin Adarabioyo;S. Lukic;B. Reid;Matthew Dibley;M. Solomon;Vinicius;Willian
