match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Wolves,5:2,E. Pollock,M. Tavernier,,E. Pollock:Daniel Adu-Adjei;M. Tavernier:A. Semenyo;Jack Stephens:C. Mepham;P. Billing:M. Senesi;K. Moore:J. Zemura;Harvey Griffiths:Diego Costa;Pedro Neto:M. Lemina,Neto;M. Senesi;J. Zemura;Jack Stephens;C. Mepham;M. Tavernier;P. Billing;E. Pollock;A. Semenyo;K. Moore;Daniel Adu-Adjei,D. Bentley;N. Semedo;Toti Gomes;Dexter Lembikisa;Jonny;Matheus Nunes;M. Lemina;Harvey Griffiths;Pedro Neto;D. Podence;Diego Costa
Arsenal FC:West Ham United,5:3,Kaelan Casey,,G. Scamacca,Amario Cozier:Takehiro Tomiyasu;K. Tierney:M. Elneny;Lino Sousa:Thomas;Reiss Nelson:Jakub Kiwior;Edward Nketiah:L. Trossard;P. Fornals:Kaelan Casey;Kurt Zouma:G. Scamacca;A. Cresswell:L. Paqueta,M. Turner;Lino Sousa;Jakub Kiwior;Takehiro Tomiyasu;K. Tierney;M. Elneny;Thomas;Amario Cozier;Edward Nketiah;Reiss Nelson;L. Trossard,Joseph Anang;Emerson;A. Cresswell;Angelo Ogbonna;Kurt Zouma;Kaelan Casey;P. Fornals;L. Paqueta;Divin Mubama;S. Benrahma;G. Scamacca
Aston Villa:Tottenham Hotspur,5:0,,A. Danjuma,C. Chambers;C. Romero,J. Duran:Tommi O'reilly;E. Buendia:J. Ramsey;Sil Swinkels:C. Chambers;Douglas Luiz:B. Traore;M. Cash:Diego Carlos,Oliwier Zych;Sil Swinkels;M. Cash;C. Chambers;Diego Carlos;Douglas Luiz;Tommi O'reilly;J. Ramsey;B. Traore;J. Duran;E. Buendia,Alfie Whiteman;B. Davies;D. Sanchez;Emerson Royal;C. Romero;R. Bentancur;R. Sessegnon;Romaine Mundle;A. Danjuma;D. Kulusevski;Richarlison
Brentford FC:Southampton FC,4:3,M. Cox;Lyanco,R. Henry;Romeo Lavia,,F. Stevens:K. Schade;S. Ghoddos:R. Henry;Y. Wissa:K. Lewis-Potter;B. Mee:M. Roerslev;Lyanco:Moussa Djenepo;S. Armstrong:Che Adams;M. Elyounoussi:Juan Larios,M. Cox;M. Roerslev;B. Mee;R. Henry;F. Stevens;Josh Dasilva;S. Ghoddos;C. Norgaard;K. Lewis-Potter;K. Schade;Y. Wissa,Alex Mccarthy;Lyanco;M. Salisu;Kyle Walker-Peters;Juan Larios;S. Armstrong;Ibrahima Diallo;Romeo Lavia;M. Elyounoussi;Che Adams;Moussa Djenepo
Brighton FC:Nottingham Forest,3:3,S. Aurier,Jeremy Sarmiento;Levi Colwill,B. Gilmour;Gustavo Scarpa,S. March:Levi Colwill;Julio Enciso:B. Gilmour;K. Mitoma:L. Dunk;S. Aurier:H. Toffolo;Lyle Taylor:Renan Lodi;T. Awoniyi:Gustavo Scarpa,J. Steele;Adam Webster;J. Veltman;Levi Colwill;L. Dunk;S. March;B. Gilmour;Jeremy Sarmiento;K. Mitoma;Julio Enciso;Danny Welbeck,George Shelvey;H. Toffolo;S. Aurier;Renan Lodi;Felipe;Gustavo Scarpa;J. Shelvey;J. Colback;Lyle Taylor;T. Awoniyi;A. Ayew
Chelsea FC:Newcastle United,0:2,,Joao Felix;Harrison Ashby;A. Gordon,K. Koulibaly;M. Almiron,C. Wilson:J. Lewis;F. Schar:M. Almiron,Gabriel Slonina;W. Fofana;K. Koulibaly;M. Cucurella;Trevoh Chalobah;H. Ziyech;N. Kante;R. Loftus-Cheek;Joao Felix;M. Mudryk;Noni Madueke,M. Dubravka;D. Burn;F. Schar;Harrison Ashby;J. Lewis;M. Almiron;Matthew Longstaff;B. Guimaraes;A. Saint-Maximin;A. Gordon;C. Wilson
Crystal Palace:Manchester United,2:1,Kayden Rodney,Lisandro Martinez;Phil Jones,J. Ward;Zidane Iqbal,Nathan Ferguson:William Hughes;Jeffrey Schlupp:O. Edouard;M. Rashford:Kobbie Mainoo,Owen Goodman;J. Ward;Nathan Ferguson;T. Mitchell;Kayden Rodney;C. Doucoure;William Hughes;Jeffrey Schlupp;J. Ayew;W. Zaha;O. Edouard,T. Heaton;Teden Mengi;Phil Jones;V. Lindelof;Lisandro Martinez;Scott Mctominay;Kobbie Mainoo;Zidane Iqbal;W. Weghorst;M. Rashford;Antony
Everton FC:Man. City,0:2,D. McNeil,E. Haaland;J. Stones,,A. Laporte:Rodri;J. Grealish:J. Stones,A. Lonergan;Nathan Patterson;Reece Welch;Ishe Samuels;B. Godfrey;A. Onana;Tom Davies;I. Gueye;Dominic Calvert-Lewin;D. McNeil;E. Simms,S. Ortega;N. Ake;J. Stones;A. Laporte;K. Walker;Maximo Perrone;C. Palmer;Rodri;J. Alvarez;J. Grealish;E. Haaland
Fulham FC:Liverpool FC,3:0,S. Duffy;I. Konate,Harvey Davies;Fabio Carvalho,Harry Wilson,T. Cairney:Cedric Soares;I. Diop:Terry Ablade;S. Duffy:Kristian Sekularac,B. Leno;I. Diop;S. Duffy;Cedric Soares;L. Kurzawa;T. Cairney;Kristian Sekularac;S. Lukic;Martial Godo;Terry Ablade;Harry Wilson,Harvey Davies;K. Tsimikas;J. Matip;I. Konate;Nathaniel Phillips;Arthur Henrique;Fabio Carvalho;Ben Doak;D. Nunez;Firmino;L. Diaz
Leeds United:Leicester City,2:5,Jannik Vestergaard,D. Praet,,Rodrigo:Junior Firpo;L. Sinisterra:Luke Ayling;Y. Tielemans:Tete;J. Vardy:Joe Wormleighton;Harvey Barnes:D. Praet;Ryan Bertrand:Jannik Vestergaard;D. Amartey:N. Mendy,I. Meslier;Luke Ayling;Junior Firpo;M. Wober;Liam Cooper;Darko Gyabi;W. Mckennie;Archie Gray;Sonny Perkins;L. Sinisterra;Rodrigo,A. Smithies;D. Amartey;Ryan Bertrand;Joe Wormleighton;Jannik Vestergaard;N. Mendy;D. Praet;Y. Tielemans;Tete;Harvey Barnes;J. Vardy
