match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Everton FC,4:5,M. Senesi,C. Mepham,Jack Stacey;Kyle John,Jack Stacey:C. Mepham;D. Ouattara:J. Anthony;Michael Dacosta:J. Lerma;R. Christie:E. Pollock;N. Maupay:Ishe Samuels;E. Simms:Kyle John;I. Gueye:Y. Mina;Mason Holgate:D. McNeil;Tom Davies:B. Godfrey,M. Travers;I. Zabarnyi;Jack Stacey;C. Mepham;M. Senesi;E. Pollock;J. Lerma;R. Christie;J. Anthony;D. Ouattara;Michael Dacosta,A. Begovic;Ishe Samuels;Mason Holgate;B. Godfrey;Y. Mina;Tom Davies;I. Gueye;Kyle John;D. McNeil;E. Simms;N. Maupay
Fulham FC:Crystal Palace,2:1,B. Reid;J. Mcarthur,Kristian Sekularac,,Martial Godo:B. Reid;Kristian Sekularac:A. Pereira;William Hughes:N. Clyne,George Wickens;Cedric Soares;K. Tete;I. Diop;L. Kurzawa;B. Reid;A. Pereira;Kristian Sekularac;Daniel James;Martial Godo;Harry Wilson,V. Guaita;Kofi Balmer;Kayden Rodney;T. Mitchell;N. Clyne;William Hughes;J. Mcarthur;David Ozoh;O. Edouard;W. Zaha;J. Ayew
Leeds United:Chelsea FC,5:5,R. Koch;Conor Gallagher,A. Broja,Liam Cooper,Archie Gray:W. Mckennie;R. Kristensen:R. Koch;Diogo Monteiro:Sam Greenwood;Crysencio Summerville:Georginio Rutter;Marc Roca:Liam Cooper;Reece James:P. Aubameyang;W. Fofana:B. Badiashile;R. Sterling:A. Broja;Conor Gallagher:Lewis Hall;C. Azpilicueta:Carney Chukwuemeka,Joel Robles;R. Koch;Diogo Monteiro;Liam Cooper;R. Kristensen;Archie Gray;Marc Roca;W. Mckennie;Crysencio Summerville;Georginio Rutter;Sam Greenwood,Marcus Bettinelli;B. Badiashile;W. Fofana;Reece James;C. Azpilicueta;Conor Gallagher;Carney Chukwuemeka;Lewis Hall;A. Broja;P. Aubameyang;R. Sterling
Leicester City:Brighton FC,4:2,Andrew Moran,V. Kristiansen;Danny Welbeck;Levi Colwill,,Ryan Bertrand:P. Daka;Tete:V. Kristiansen;D. Amartey:Sammy Braybrooke;W. Ndidi:J. Vardy;Levi Colwill:T. Lamptey;Jan Van Hecke:Cameron Peupion,Daniel Iversen;V. Kristiansen;T. Castagne;D. Amartey;Ryan Bertrand;W. Ndidi;Y. Tielemans;Sammy Braybrooke;P. Daka;Tete;J. Vardy,J. Steele;T. Lamptey;Jan Van Hecke;Adam Webster;Levi Colwill;Cameron Peupion;F. Buonanotte;Andrew Moran;Evan Ferguson;Danny Welbeck;D. Undav
Liverpool FC:Brentford FC,2:5,,K. Tsimikas,,Rhys Williams:V. Van Dijk;Thiago:K. Tsimikas;F. Stevens:T. Crama;V. Janelt:M. Roerslev;K. Lewis-Potter:Zanka;M. Olakigbe:P. Jansson;I. Toney:Josh Dasilva,Harvey Davies;Nathaniel Phillips;V. Van Dijk;K. Tsimikas;Rhys Williams;Thiago;H. Elliott;Curtis Jones;D. Nunez;C. Gakpo;Diogo Jota,T. Strakosha;M. Roerslev;P. Jansson;F. Stevens;Zanka;V. Janelt;Josh Dasilva;T. Crama;M. Olakigbe;K. Lewis-Potter;I. Toney
Man. City:Aston Villa,1:5,C. Palmer;O. Watkins,J. Stones;E. Buendia,,J. Stones:A. Laporte;J. Duran:L. Digne;A. Young:O. Watkins;Douglas Luiz:Sil Swinkels;E. Buendia:B. Kamara;M. Cash:J. Ramsey,S. Ortega;A. Laporte;J. Stones;S. Gomez;Rico Lewis;Rodri;K. Phillips;C. Palmer;E. Haaland;Benjamin Knight;J. Alvarez,Emiliano Martinez;M. Cash;Sil Swinkels;L. Digne;A. Young;Douglas Luiz;B. Kamara;J. Ramsey;J. Duran;O. Watkins;E. Buendia
Manchester United:Arsenal FC,5:4,B. Saka,Brandon Williams;A. Martial;Lino Sousa;M. Turner,Phil Jones,H. Maguire:Phil Jones;A. Martial:Bruno Fernandes;Scott Mctominay:Alejandro Garnacho;Rhys Bennett:F. Pellistri;Brandon Williams:D. Van De Beek;Ethan Nwaneri:Lino Sousa;Edward Nketiah:Reuell Walters;K. Tierney:Thomas;Reiss Nelson:Gabriel Jesus,T. Heaton;Brandon Williams;H. Maguire;Phil Jones;Rhys Bennett;Scott Mctominay;Bruno Fernandes;D. Van De Beek;A. Martial;Alejandro Garnacho;F. Pellistri,M. Turner;K. Tierney;W. Saliba;Lino Sousa;Reuell Walters;Ethan Nwaneri;Thomas;B. Saka;Edward Nketiah;Gabriel Jesus;Reiss Nelson
Newcastle United:Wolves,4:1,,,Harvey Griffiths,A. Saint-Maximin:P. Dummett;E. Anderson:Harrison Ashby;M. Almiron:S. Longstaff;A. Gordon:J. Murphy;P. Sarabia:Harvey Griffiths,L. Karius;P. Dummett;Harrison Ashby;D. Burn;J. Lewis;S. Longstaff;M. Almiron;E. Anderson;J. Murphy;A. Saint-Maximin;A. Gordon,Jose Sa;Joseph Hodge;Hugo Bueno;C. Dawson;Toti Gomes;Matheus Nunes;Harvey Griffiths;Ruben Neves;Matheus Cunha;Hee-Chan Hwang;P. Sarabia
Nottingham Forest:West Ham United,2:5,G. Scamacca,,,R. Yates:S. McKenna;Lyle Taylor:S. Surridge;T. Soucek:P. Fornals;Gnaly Cornet:V. Coufal;T. Kehrer:N. Aguerd;A. Cresswell:G. Scamacca;S. Benrahma:Armstrong Okoflex,Dean Henderson;S. McKenna;J. Worrall;Renan Lodi;M. Niakhate;M. Gibbs-White;J. Colback;R. Yates;Lyle Taylor;Chris Wood;S. Surridge,A. Areola;A. Cresswell;V. Coufal;T. Kehrer;N. Aguerd;Armstrong Okoflex;P. Fornals;T. Soucek;G. Scamacca;Gnaly Cornet;S. Benrahma
Southampton FC:Tottenham Hotspur,5:1,Kyle Walker-Peters;Pierre-Emile Hojbjerg,,W. Caballero,Tino Livramento:Juan Larios;Kyle Walker-Peters:Moussa Djenepo;R. Perraud:Ibrahima Diallo;C. Alcaraz:Sekou Mara;Joe Aribo:K. Sulemana;C. Romero:Lucas Moura,W. Caballero;Juan Larios;Kyle Walker-Peters;R. Perraud;Tino Livramento;C. Alcaraz;Joe Aribo;Ibrahima Diallo;Moussa Djenepo;K. Sulemana;Sekou Mara,Alfie Whiteman;Japhet Tanganga;D. Sanchez;B. Davies;C. Romero;Pierre-Emile Hojbjerg;Alfie Devine;R. Bentancur;D. Kulusevski;Lucas Moura;Heung-Min Son
