match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Nottingham Forest,3:2,J. Lerma;Felipe,,J. Colback,J. Lerma:R. Christie;J. Anthony:M. Senesi;R. Fredericks:L. Kelly;J. Colback:E. Dennis;Orel Mangala:M. Niakhate,M. Travers;Jack Stacey;L. Kelly;R. Fredericks;M. Senesi;R. Christie;J. Lerma;E. Pollock;Dominic Solanke;J. Anthony;Michael Dacosta,W. Hennessey;Felipe;M. Niakhate;Giulian Biancone;S. Aurier;J. Colback;Orel Mangala;R. Yates;E. Dennis;Chris Wood;A. Ayew
Southampton FC:Newcastle United,2:2,,K. Sulemana;Lyanco;L. Karius,,James Bree:Samuel Edozie;Che Adams:Tino Livramento;J. Lascelles:E. Krafth;K. Trippier:M. Almiron,W. Caballero;Tino Livramento;Lyanco;Juan Larios;James Bree;Romeo Lavia;Ibrahima Diallo;C. Alcaraz;K. Sulemana;Che Adams;Samuel Edozie,L. Karius;J. Lascelles;E. Krafth;Harrison Ashby;K. Trippier;Joelinton;B. Guimaraes;M. Almiron;J. Murphy;A. Isak;Ryan Fraser
Tottenham Hotspur:Manchester United,3:3,George Abbott;Marc Jurado,Japhet Tanganga,,Richarlison:E. Dier;Pierre-Emile Hojbjerg:Japhet Tanganga;D. Sanchez:George Abbott;Casemiro:M. Rashford;V. Lindelof:Jadon Sancho;Fred:C. Eriksen,F. Forster;D. Sanchez;Japhet Tanganga;E. Dier;George Abbott;Pierre-Emile Hojbjerg;I. Perisic;Pape Sarr;H. Kane;D. Kulusevski;Richarlison,D. De Gea;Lisandro Martinez;Phil Jones;V. Lindelof;Marc Jurado;Fred;C. Eriksen;Casemiro;M. Rashford;M. Greenwood;Jadon Sancho
West Ham United:Man. City,4:1,M. Lanzini,R. Mahrez;A. Laporte,M. Antonio,T. Soucek:V. Coufal;Kaelan Casey:Emerson;M. Lanzini:Angelo Ogbonna;A. Cresswell:Divin Mubama;J. Alvarez:K. Phillips,Joseph Anang;Emerson;A. Cresswell;Angelo Ogbonna;V. Coufal;M. Lanzini;Kaelan Casey;T. Soucek;G. Scamacca;M. Antonio;Divin Mubama,S. Ortega;Rico Lewis;A. Laporte;N. Ake;Ruben Dias;K. De Bruyne;K. Phillips;C. Palmer;J. Alvarez;R. Mahrez;Benjamin Knight
Wolves:Liverpool FC,1:4,Toti Gomes,Alexander-Arnold;N. Keita,,R. Jimenez:Joseph Hodge;A. Robertson:Joe Gomez;N. Keita:Firmino;L. Diaz:A. Oxlade-Chamberlain;Thiago:Alexander-Arnold,Jose Sa;Joseph Hodge;N. Semedo;Hugo Bueno;Toti Gomes;Harvey Griffiths;Joao Gomes;M. Lemina;S. Kalajdzic;R. Jimenez;P. Sarabia,Caoimhin Kelleher;Alexander-Arnold;Calvin Ramsay;Joe Gomez;A. Robertson;N. Keita;Thiago;A. Oxlade-Chamberlain;L. Diaz;Firmino;M. Salah
Arsenal FC:Leicester City,4:0,K. Iheanacho,Gabriel Jesus;Thomas,D. Praet,Takehiro Tomiyasu:O. Zinchenko;Gabriel Jesus:M. Elneny;Martinelli:Reiss Nelson;M. Odegaard:Thomas,A. Ramsdale;Rob Holding;O. Zinchenko;Takehiro Tomiyasu;Gabriel Magalhaes;M. Odegaard;Thomas;M. Elneny;Gabriel Jesus;Martinelli;Reiss Nelson,A. Smithies;Ryan Bertrand;Ricardo Pereira;L. Thomas;Jonathan Evans;Kiernan Dewsbury-Hall;N. Mendy;D. Praet;P. Daka;K. Iheanacho;Harvey Barnes
Aston Villa:Leeds United,0:4,Brenden Aaronson,P. Struijk,Crysencio Summerville,Brenden Aaronson:L. Sinisterra;Adam Forshaw:R. Koch;P. Struijk:Crysencio Summerville;Sonny Perkins:Junior Firpo,Emiliano Martinez;Alex Moreno;T. Mings;A. Young;Sil Swinkels;L. Dendoncker;Douglas Luiz;B. Kamara;Kadan Young;O. Watkins;E. Buendia,I. Meslier;P. Struijk;R. Koch;R. Kristensen;Junior Firpo;Archie Gray;Brenden Aaronson;Adam Forshaw;Sonny Perkins;L. Sinisterra;Crysencio Summerville
Brentford FC:Fulham FC,5:5,,Josh Dasilva;B. Reid;M. Solomon,T. Strakosha,M. Damsgaard:Y. Yarmolyuk;R. Henry:V. Janelt;Josh Dasilva:I. Toney;B. Mee:M. Olakigbe;E. Pinnock:Zanka;S. Lukic:S. Duffy;I. Diop:Kristian Sekularac;Stefan Parkes:K. Tete;A. Mitrovic:M. Solomon;N. Kebano:B. Reid,T. Strakosha;E. Pinnock;B. Mee;Zanka;R. Henry;V. Janelt;Y. Yarmolyuk;Josh Dasilva;M. Olakigbe;I. Toney;M. Damsgaard,M. Rodak;S. Duffy;K. Tete;I. Diop;Stefan Parkes;Kristian Sekularac;S. Lukic;B. Reid;A. Mitrovic;N. Kebano;M. Solomon
Brighton FC:Everton FC,0:5,Demarai Gray,Danny Welbeck;L. Dunk;Tom Davies,,Reece Welch:C. Coady;V. Mykolenko:D. McNeil;Demarai Gray:Andros Townsend;James Garner:Ruben Vinagre;Tom Davies:Kyle John,R. Sanchez;Imari Samuels;P. Estupinan;L. Dunk;T. Lamptey;Yasin Ayari;Moises Caicedo;S. March;Danny Welbeck;D. Undav;Julio Enciso,Jordan Pickford;Ruben Vinagre;Reece Welch;C. Coady;V. Mykolenko;James Garner;Kyle John;Tom Davies;Demarai Gray;Andros Townsend;D. McNeil
Chelsea FC:Crystal Palace,2:0,Trevoh Chalobah;V. Guaita,Thiago Silva;J. Ayew;Marc Guehi,M. Kovacic,Carney Chukwuemeka:Reece James;Trevoh Chalobah:K. Havertz,E. Mendy;C. Azpilicueta;Thiago Silva;Trevoh Chalobah;Reece James;M. Kovacic;Carney Chukwuemeka;K. Havertz;Omari Hutchinson;R. Sterling;Joao Felix,V. Guaita;J. Ward;Kofi Balmer;Marc Guehi;Kayden Rodney;Jairo Riedewald;L. Milivojevic;N. Ahamada;J. Ayew;O. Edouard;W. Zaha
