match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
Leicester City:AFC Bournemouth,5:2,,R. Christie;Neto,W. Ndidi,Joe Wormleighton:P. Daka;Tete:W. Ndidi;Ricardo Pereira:K. Iheanacho;J. Justin:B. Soumare;Lewis Brunt:J. Maddison;Daniel Adu-Adjei:M. Senesi;A. Semenyo:I. Zabarnyi,D. Ward;J. Justin;Ricardo Pereira;Lewis Brunt;Joe Wormleighton;J. Maddison;B. Soumare;W. Ndidi;P. Daka;Tete;K. Iheanacho,Neto;J. Zemura;C. Mepham;M. Senesi;I. Zabarnyi;R. Christie;L. Cook;M. Tavernier;Daniel Adu-Adjei;A. Semenyo;J. Stanislas
Leeds United:Liverpool FC,3:3,,Diogo Monteiro;Adam Forshaw;Diogo Jota,Brenden Aaronson;Thiago,R. Kristensen:J. Harrison;Rodrigo:Diogo Monteiro;Mateo Joseph:Brenden Aaronson;Bobby Clark:Curtis Jones;Firmino:A. Robertson;V. Van Dijk:Diogo Jota,Joel Robles;Junior Firpo;R. Kristensen;Diogo Monteiro;S. Dallas;Brenden Aaronson;W. Mckennie;Adam Forshaw;Rodrigo;Mateo Joseph;J. Harrison,Alisson;V. Van Dijk;K. Tsimikas;A. Robertson;J. Matip;Curtis Jones;Thiago;Bobby Clark;D. Nunez;Diogo Jota;Firmino
Fulham FC:Man. City,4:1,Luke Harris,M. Rodak;J. Palhinha;K. Phillips,M. Akanji,Martial Godo:K. Tete;Antonee Robinson:Cedric Soares;Terry Ablade:J. Palhinha;Willian:B. Reid;Ruben Dias:M. Akanji,M. Rodak;K. Tete;Antonee Robinson;Cedric Soares;Charlie Robinson;B. Reid;Luke Harris;J. Palhinha;Willian;Martial Godo;Terry Ablade,S. Carson;N. Ake;M. Akanji;Ruben Dias;J. Stones;K. Phillips;C. Palmer;Bernardo Silva;J. Alvarez;J. Grealish;Benjamin Knight
Everton FC:Manchester United,3:4,,I. Gueye;D. McNeil;M. Greenwood;D. Van De Beek,L. Shaw,I. Gueye:Tom Davies;D. McNeil:Demarai Gray;Ruben Vinagre:Mason Holgate;M. Greenwood:V. Lindelof;L. Shaw:C. Eriksen;Kobbie Mainoo:D. Dalot;M. Rashford:Teden Mengi,A. Lonergan;M. Keane;Ruben Vinagre;J. Tarkowski;Mason Holgate;Tom Davies;Isaac Price;I. Gueye;D. McNeil;Demarai Gray;Dominic Calvert-Lewin,Nathan Bishop;L. Shaw;V. Lindelof;D. Dalot;Teden Mengi;Kobbie Mainoo;D. Van De Beek;C. Eriksen;Antony;M. Greenwood;M. Rashford
Crystal Palace:Newcastle United,5:3,,P. Dummett;Matt Targett,J. Tomkins,O. Edouard:J. Tomkins;Jean Mateta:M. Olise;J. Ward:C. Doucoure;J. Andersen:J. Mcarthur;J. Ayew:N. Clyne;J. Murphy:B. Guimaraes;A. Isak:Matt Targett;Joe Willock:D. Burn,Sam Johnstone;J. Ward;J. Andersen;J. Tomkins;N. Clyne;M. Olise;J. Mcarthur;C. Doucoure;O. Edouard;J. Ayew;Jean Mateta,Nick Pope;Matt Targett;D. Burn;J. Lewis;P. Dummett;Joe Willock;B. Guimaraes;Joelinton;A. Saint-Maximin;A. Isak;J. Murphy
Chelsea FC:Nottingham Forest,5:3,,David Fofana;Renan Lodi,Gabriel Slonina,David Fofana:Reece James;Ben Chilwell:R. Sterling;K. Havertz:Lewis Hall;M. Cucurella:R. Loftus-Cheek;Trevoh Chalobah:Noni Madueke;Cafu:C. Kouyate;Lyle Taylor:Chris Wood;Alexander Mighten:Omar Richards,Gabriel Slonina;M. Cucurella;Trevoh Chalobah;Reece James;Ben Chilwell;K. Havertz;R. Loftus-Cheek;Lewis Hall;Noni Madueke;R. Sterling;David Fofana,George Shelvey;S. Aurier;Omar Richards;M. Niakhate;Renan Lodi;Cafu;C. Kouyate;R. Yates;Alexander Mighten;Lyle Taylor;Chris Wood
Brighton FC:Southampton FC,2:3,Adam Armstrong,Alex Mccarthy;S. Armstrong,,Jeremy Sarmiento:Evan Ferguson;K. Mitoma:A. Mac Allister;Che Adams:K. Sulemana;D. Caleta-Car:Adam Armstrong;S. Armstrong:Lyanco,R. Sanchez;J. Veltman;Jan Van Hecke;P. Estupinan;L. Dunk;A. Mac Allister;Jeremy Sarmiento;S. March;Danny Welbeck;Evan Ferguson;K. Mitoma,Alex Mccarthy;D. Caleta-Car;Lyanco;J. Bednarek;R. Perraud;Romeo Lavia;S. Armstrong;Joe Aribo;K. Sulemana;Che Adams;Adam Armstrong
Brentford FC:Tottenham Hotspur,5:1,K. Schade;Romaine Mundle,R. Henry;B. Mee;D. Kulusevski,F. Forster,M. Olakigbe:Y. Wissa;M. Jensen:C. Norgaard;Zanka:M. Roerslev;R. Henry:K. Schade;B. Mee:S. Baptiste;H. Kane:Romaine Mundle,D. Raya;M. Roerslev;R. Henry;B. Mee;Zanka;C. Norgaard;S. Baptiste;M. Jensen;Y. Wissa;K. Schade;M. Olakigbe,F. Forster;Japhet Tanganga;George Abbott;Pedro Porro;D. Sanchez;Matthew Craig;Romaine Mundle;R. Sessegnon;D. Kulusevski;Lucas Moura;H. Kane
Aston Villa:West Ham United,3:1,,Diego Carlos;D. Rice,J. Bowen,L. Bailey:C. Chambers;E. Buendia:Diego Carlos;Alex Moreno:L. Dendoncker;T. Soucek:Emerson,J. Steer;Alex Moreno;M. Cash;Diego Carlos;C. Chambers;L. Dendoncker;Tommi O'reilly;J. Mcginn;E. Buendia;L. Bailey;J. Duran,A. Areola;N. Aguerd;B. Johnson;Emerson;V. Coufal;D. Rice;F. Downes;T. Soucek;M. Antonio;G. Scamacca;J. Bowen
Arsenal FC:Wolves,1:0,,Matthew Smith;Amario Cozier,L. Trossard;Matheus Nunes,Matthew Smith:Martinelli,A. Ramsdale;Rob Holding;W. Saliba;Gabriel Magalhaes;Matthew Smith;Amario Cozier;Fabio Vieira;G. Xhaka;Martinelli;L. Trossard;Edward Nketiah,Jose Sa;Joseph Hodge;Toti Gomes;R. Ait-Nouri;Hugo Bueno;Ruben Neves;Matheus Nunes;Joao Gomes;Pedro Neto;S. Kalajdzic;Matheus Cunha
