match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
Fulham FC:AFC Bournemouth,3:0,L. Kelly,M. Vina;J. Lerma,Vinicius,Terry Ablade:Cedric Soares;J. Palhinha:Harrison Reed;Matthew Dibley:Vinicius,M. Rodak;L. Kurzawa;Charlie Robinson;Antonee Robinson;Cedric Soares;J. Palhinha;Harrison Reed;Matthew Dibley;N. Kebano;Terry Ablade;Vinicius,D. Randolph;L. Kelly;Jack Stephens;A. Smith;M. Vina;R. Christie;J. Lerma;P. Billing;A. Semenyo;Dominic Solanke;J. Anthony
Everton FC:Leeds United,3:2,Junior Firpo,Andros Townsend;Diogo Monteiro,,Tom Davies:Nathan Patterson;Andros Townsend:Isaac Price;A. Doucoure:B. Godfrey;Georginio Rutter:Diogo Monteiro;L. Sinisterra:Adam Forshaw,A. Begovic;B. Godfrey;Nathan Patterson;Ishe Samuels;J. Tarkowski;Tom Davies;A. Doucoure;Isaac Price;E. Simms;D. McNeil;Andros Townsend,Joel Robles;R. Kristensen;Diogo Monteiro;M. Wober;Junior Firpo;Adam Forshaw;W. Mckennie;Marc Roca;L. Sinisterra;Georginio Rutter;Patrick Bamford
Crystal Palace:Leicester City,3:3,,O. Edouard;W. Faes,J. Tomkins;Harry Souttar,J. Ayew:J. Andersen;Kofi Balmer:Kayden Rodney;M. Olise:Jean Mateta;P. Daka:Harry Souttar;J. Justin:Y. Tielemans;Tete:Kiernan Dewsbury-Hall,Joe Whitworth;J. Andersen;J. Tomkins;Kofi Balmer;Kayden Rodney;M. Olise;A. Lokonga;David Ozoh;O. Edouard;Jean Mateta;J. Ayew,Daniel Iversen;Ryan Bertrand;W. Faes;J. Justin;Harry Souttar;Y. Tielemans;Kiernan Dewsbury-Hall;W. Ndidi;P. Daka;Tete;J. Vardy
Chelsea FC:Liverpool FC,2:5,Arthur Henrique,Curtis Jones,Firmino,E. Fernandez:C. Azpilicueta;David Fofana:Lewis Hall;N. Keita:V. Van Dijk;L. Diaz:M. Salah;Curtis Jones:J. Matip;Firmino:Nathaniel Phillips;Arthur Henrique:I. Konate,Kepa;Thiago Silva;Reece James;M. Cucurella;C. Azpilicueta;Harvey Vale;Lewis Hall;E. Fernandez;P. Aubameyang;Noni Madueke;David Fofana,Alisson;Nathaniel Phillips;J. Matip;V. Van Dijk;I. Konate;N. Keita;Arthur Henrique;Curtis Jones;M. Salah;Firmino;L. Diaz
Brighton FC:Man. City,3:0,K. Mitoma,P. Gross;I. Gundogan,Thomas Mcgill;Maximo Perrone,K. Mitoma:D. Undav;P. Gross:Cameron Peupion;F. Buonanotte:Imari Samuels,Thomas Mcgill;P. Estupinan;Imari Samuels;Jan Van Hecke;Oddel Offiah;F. Buonanotte;P. Gross;Cameron Peupion;Julio Enciso;K. Mitoma;D. Undav,Ederson;N. Ake;A. Laporte;B. Mendy;Ruben Dias;I. Gundogan;Maximo Perrone;P. Foden;E. Haaland;J. Alvarez;Benjamin Knight
Brentford FC:Manchester United,5:2,B. Mbeumo;A. Wan-Bissaka,D. Van De Beek,C. Eriksen,M. Olakigbe:V. Janelt;A. Hickey:M. Jensen;E. Pinnock:R. Trevitt;I. Toney:B. Mbeumo;M. Roerslev:P. Jansson;H. Maguire:Marc Jurado;W. Weghorst:Teden Mengi,M. Cox;A. Hickey;M. Roerslev;P. Jansson;E. Pinnock;R. Trevitt;M. Jensen;V. Janelt;M. Olakigbe;I. Toney;B. Mbeumo,D. De Gea;A. Wan-Bissaka;Teden Mengi;Marc Jurado;H. Maguire;Kobbie Mainoo;D. Van De Beek;C. Eriksen;F. Pellistri;A. Elanga;W. Weghorst
Aston Villa:Newcastle United,4:3,E. Konsa;B. Guimaraes,Oliwier Zych;J. Manquillo;A. Isak,L. Dendoncker,L. Digne:P. Coutinho;E. Konsa:J. Ramsey;L. Dendoncker:Diego Carlos;Kadan Young:J. Mcginn;A. Gordon:K. Trippier;A. Isak:Matt Targett;B. Guimaraes:J. Manquillo,Oliwier Zych;Travis Patterson;Diego Carlos;E. Konsa;L. Digne;J. Mcginn;J. Ramsey;L. Dendoncker;Kadan Young;O. Watkins;P. Coutinho,Mark Gillespie;Matt Targett;J. Lewis;K. Trippier;J. Manquillo;B. Guimaraes;Joelinton;S. Longstaff;A. Gordon;A. Isak;Ryan Fraser
Arsenal FC:Nottingham Forest,5:0,C. Kouyate,M. Elneny;L. Trossard,A. Ayew,Reiss Nelson:W. Saliba;M. Elneny:Reuell Walters;K. Tierney:Edward Nketiah;Takehiro Tomiyasu:M. Odegaard;L. Trossard:Fabio Vieira,A. Ramsdale;K. Tierney;Reuell Walters;Takehiro Tomiyasu;W. Saliba;M. Odegaard;Fabio Vieira;M. Elneny;L. Trossard;Edward Nketiah;Reiss Nelson,W. Hennessey;Giulian Biancone;N. Williams;Felipe;H. Toffolo;Cafu;R. Freuler;C. Kouyate;Lyle Taylor;Chris Wood;A. Ayew
Wolves:Southampton FC,4:0,S. Kalajdzic,Jonny,G. Bazunu,R. Jimenez:D. Podence;Joseph Hodge:Matheus Nunes;Joao Gomes:M. Kilman;S. Kalajdzic:Toti Gomes,Jose Sa;Jonny;Joseph Hodge;M. Kilman;Toti Gomes;Matheus Nunes;Joao Gomes;Harvey Griffiths;R. Jimenez;S. Kalajdzic;D. Podence,G. Bazunu;R. Perraud;Kyle Walker-Peters;A. Bella-Kotchap;Tino Livramento;Joe Aribo;Ibrahima Diallo;J. Ward-Prowse;K. Sulemana;M. Elyounoussi;Che Adams
West Ham United:Tottenham Hotspur,0:1,,Danny Ings;Armstrong Okoflex;C. Lenglet,,D. Sanchez:Pierre-Emile Hojbjerg,A. Areola;Emerson;V. Coufal;Kurt Zouma;A. Cresswell;Kaelan Casey;Armstrong Okoflex;M. Lanzini;Divin Mubama;S. Benrahma;Danny Ings,H. Lloris;C. Lenglet;D. Sanchez;Pedro Porro;Japhet Tanganga;Pierre-Emile Hojbjerg;R. Sessegnon;Pape Sarr;Lucas Moura;A. Danjuma;D. Kulusevski
