match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Arsenal FC,2:5,,L. Cook;Matthew Smith,,L. Cook:R. Fredericks;J. Lerma:M. Vina;Gabriel Jesus:Ethan Nwaneri;Reuell Walters:Smith Rowe;Amario Cozier:L. Trossard;Takehiro Tomiyasu:W. Saliba;Martinelli:Matthew Smith,D. Randolph;R. Fredericks;I. Zabarnyi;J. Zemura;M. Vina;M. Tavernier;J. Lerma;L. Cook;Daniel Adu-Adjei;D. Sadi;Michael Dacosta,Karl Hein;Matthew Smith;Reuell Walters;Takehiro Tomiyasu;W. Saliba;Amario Cozier;Ethan Nwaneri;Smith Rowe;Gabriel Jesus;Martinelli;L. Trossard
Aston Villa:Wolves,4:5,Kadan Young;Joseph Hodge,J. Duran;Harvey Griffiths,Matheus Nunes,M. Cash:B. Kamara;L. Dendoncker:J. Duran;T. Mings:P. Coutinho;Sil Swinkels:J. Ramsey;Chiquinho:Nathan Fraser;Matheus Nunes:Hugo Bueno;C. Dawson:Hee-Chan Hwang;M. Lemina:Joseph Hodge;Dexter Lembikisa:Harvey Griffiths,Viljami Sinisalo;M. Cash;T. Mings;L. Digne;Sil Swinkels;B. Kamara;J. Ramsey;L. Dendoncker;Kadan Young;J. Duran;P. Coutinho,Louie Moulden;Hugo Bueno;Joseph Hodge;Dexter Lembikisa;C. Dawson;Matheus Nunes;M. Lemina;Harvey Griffiths;Hee-Chan Hwang;Chiquinho;Nathan Fraser
Brentford FC:West Ham United,1:2,Josh Dasilva,Emerson;Kaelan Casey,,B. Mbeumo:O. Onyeka;V. Coufal:Emerson;B. Johnson:A. Cresswell,D. Raya;M. Roerslev;B. Mee;Zanka;F. Stevens;O. Onyeka;C. Norgaard;Josh Dasilva;K. Schade;Y. Wissa;B. Mbeumo,Joseph Anang;V. Coufal;B. Johnson;A. Cresswell;Emerson;M. Lanzini;Kaelan Casey;T. Soucek;G. Scamacca;Danny Ings;J. Bowen
Brighton FC:Tottenham Hotspur,0:4,Alfie Devine,Evan Ferguson;J. Steele,Pape Sarr,R. Bentancur:George Abbott;C. Lenglet:Alfie Devine;H. Kane:B. Davies;C. Romero:A. Danjuma,J. Steele;Adam Webster;Oddel Offiah;Imari Samuels;J. Veltman;A. Mac Allister;Yasin Ayari;J. Moder;Danny Welbeck;K. Mitoma;Evan Ferguson,F. Forster;C. Lenglet;B. Davies;George Abbott;C. Romero;Alfie Devine;R. Bentancur;Pape Sarr;H. Kane;Richarlison;A. Danjuma
Chelsea FC:Southampton FC,1:5,B. Badiashile;J. Bednarek,Gabriel Slonina,K. Havertz,David Fofana:B. Badiashile;C. Alcaraz:Juan Larios;Kyle Walker-Peters:M. Orsic;Sekou Mara:P. Onuachu;James Bree:Romeo Lavia;S. Armstrong:J. Bednarek,Gabriel Slonina;Ben Chilwell;B. Badiashile;W. Fofana;Thiago Silva;Lewis Hall;K. Havertz;R. Loftus-Cheek;R. Sterling;M. Mudryk;David Fofana,G. Bazunu;James Bree;Kyle Walker-Peters;J. Bednarek;Juan Larios;Romeo Lavia;S. Armstrong;C. Alcaraz;M. Orsic;Sekou Mara;P. Onuachu
Crystal Palace:Nottingham Forest,3:2,,L. Milivojevic,O. Edouard,L. Milivojevic:J. Mcarthur;O. Edouard:Jean Mateta;J. Andersen:Kayden Rodney;W. Boly:S. Cook;Gustavo Scarpa:J. Worrall,Joe Whitworth;J. Andersen;Kofi Balmer;J. Tomkins;Kayden Rodney;L. Milivojevic;J. Mcarthur;C. Doucoure;Jean Mateta;O. Edouard;J. Ayew,Keylor Navas;J. Worrall;S. Cook;W. Boly;M. Niakhate;R. Yates;Gustavo Scarpa;C. Kouyate;Lyle Taylor;A. Ayew;E. Dennis
Everton FC:Newcastle United,2:2,C. Wilson,,Nathan Patterson,Andros Townsend:E. Simms;Kyle John:James Garner;C. Wilson:B. Guimaraes;F. Schar:E. Anderson,Jordan Pickford;J. Tarkowski;Nathan Patterson;Y. Mina;Mason Holgate;James Garner;Kyle John;I. Gueye;Andros Townsend;D. McNeil;E. Simms,M. Dubravka;Harrison Ashby;P. Dummett;J. Lascelles;F. Schar;B. Guimaraes;Joelinton;E. Anderson;A. Saint-Maximin;C. Wilson;J. Murphy
Fulham FC:Manchester United,1:1,Tosin Adarabioyo,Stefan Parkes,Luke Harris,T. Francois:Charlie Robinson;F. Pellistri:V. Lindelof,B. Leno;Charlie Robinson;Tosin Adarabioyo;Stefan Parkes;Cedric Soares;Kristian Sekularac;Luke Harris;T. Francois;M. Solomon;Terry Ablade;A. Mitrovic,T. Heaton;A. Wan-Bissaka;V. Lindelof;Rhys Bennett;Brandon Williams;D. Van De Beek;Casemiro;Scott Mctominay;F. Pellistri;M. Greenwood;W. Weghorst
Leeds United:Man. City,1:0,,P. Struijk,Mateo Joseph;S. Ortega,Mateo Joseph:Diogo Monteiro,Joel Robles;Liam Cooper;Diogo Monteiro;P. Struijk;S. Dallas;Adam Forshaw;Darko Gyabi;Marc Roca;Gnonto;Georginio Rutter;Mateo Joseph,S. Ortega;A. Laporte;B. Mendy;Ruben Dias;J. Stones;K. Phillips;Bernardo Silva;Maximo Perrone;Benjamin Knight;R. Mahrez;J. Alvarez
Leicester City:Liverpool FC,2:3,,P. Daka;K. Iheanacho,Ricardo Pereira;V. Van Dijk,D. Praet:T. Castagne;Ricardo Pereira:K. Iheanacho;V. Van Dijk:Diogo Jota;Curtis Jones:A. Oxlade-Chamberlain;M. Salah:Nathaniel Phillips,Daniel Iversen;V. Kristiansen;L. Thomas;Ricardo Pereira;T. Castagne;W. Ndidi;D. Praet;Sammy Braybrooke;J. Vardy;K. Iheanacho;P. Daka,Alisson;V. Van Dijk;Nathaniel Phillips;J. Matip;Rhys Williams;Curtis Jones;A. Oxlade-Chamberlain;Bobby Clark;C. Gakpo;M. Salah;Diogo Jota
