match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
Aston Villa:AFC Bournemouth,3:3,J. Mcginn,M. Senesi;E. Pollock,C. Chambers;D. Ouattara,E. Buendia:J. Ramsey;C. Chambers:Kadan Young;Travis Patterson:L. Dendoncker;Jack Stephens:R. Christie;H. Traore:D. Ouattara;C. Mepham:E. Pollock,J. Steer;E. Konsa;C. Chambers;Sil Swinkels;Travis Patterson;J. Mcginn;J. Ramsey;L. Dendoncker;E. Buendia;O. Watkins;Kadan Young,Neto;C. Mepham;M. Senesi;J. Zemura;Jack Stephens;E. Pollock;R. Christie;H. Traore;Michael Dacosta;D. Ouattara;Daniel Adu-Adjei
Arsenal FC:Brentford FC,3:3,A. Ramsdale;T. Crama,Reiss Nelson;Ethan Nwaneri;K. Lewis-Potter,,Jakub Kiwior:Smith Rowe;Matthew Smith:L. Trossard;K. Tierney:M. Odegaard;B. Mee:T. Crama;P. Jansson:F. Stevens;I. Toney:K. Lewis-Potter,A. Ramsdale;K. Tierney;Matthew Smith;Reuell Walters;Jakub Kiwior;M. Odegaard;Ethan Nwaneri;Smith Rowe;Martinelli;L. Trossard;Reiss Nelson,M. Cox;M. Roerslev;F. Stevens;B. Mee;P. Jansson;T. Crama;C. Norgaard;Y. Yarmolyuk;I. Toney;K. Lewis-Potter;Y. Wissa
Wolves:Brighton FC,3:0,,R. Ait-Nouri;S. Kalajdzic,Joao Moutinho;L. Dunk,Ruben Neves:Nathan Fraser;N. Collins:Pedro Neto;R. Ait-Nouri:Jonny,Jose Sa;R. Ait-Nouri;Jonny;Hugo Bueno;N. Collins;Joao Moutinho;Harvey Griffiths;Ruben Neves;Nathan Fraser;S. Kalajdzic;Pedro Neto,R. Sanchez;Jan Van Hecke;Oddel Offiah;L. Dunk;Levi Colwill;Jeremy Sarmiento;J. Moder;F. Buonanotte;D. Undav;Danny Welbeck;Evan Ferguson
West Ham United:Chelsea FC,1:2,Joao Felix,T. Soucek;E. Mendy;M. Cucurella,F. Downes;Noni Madueke,Danny Ings:M. Antonio;Trevoh Chalobah:Harvey Vale;M. Kovacic:Noni Madueke,Joseph Anang;Emerson;N. Aguerd;V. Coufal;Kurt Zouma;F. Downes;T. Soucek;P. Fornals;Danny Ings;M. Antonio;Divin Mubama,E. Mendy;Reece James;Trevoh Chalobah;M. Cucurella;C. Azpilicueta;Harvey Vale;K. Havertz;M. Kovacic;Joao Felix;P. Aubameyang;Noni Madueke
Tottenham Hotspur:Crystal Palace,2:2,W. Zaha,D. Kulusevski;Jairo Riedewald;Jean Mateta,,I. Perisic:A. Danjuma;D. Kulusevski:C. Romero;N. Clyne:Jairo Riedewald;Kofi Balmer:J. Tomkins,Alfie Whiteman;E. Dier;Pedro Porro;C. Romero;C. Lenglet;Romaine Mundle;Matthew Craig;I. Perisic;D. Kulusevski;A. Danjuma;Lucas Moura,Sam Johnstone;Kofi Balmer;N. Clyne;J. Tomkins;J. Ward;David Ozoh;Jairo Riedewald;E. Eze;J. Ayew;Jean Mateta;W. Zaha
Southampton FC:Everton FC,0:2,Alex Iwobi,Demarai Gray,M. Salisu;Seamus Coleman,Seamus Coleman:J. Tarkowski;Reece Welch:Dominic Calvert-Lewin,W. Caballero;Lyanco;Tino Livramento;Juan Larios;M. Salisu;Joe Aribo;C. Alcaraz;Ibrahima Diallo;Theo Walcott;Che Adams;Moussa Djenepo,Jordan Pickford;J. Tarkowski;Mason Holgate;Seamus Coleman;Reece Welch;James Garner;A. Doucoure;Alex Iwobi;Andros Townsend;Dominic Calvert-Lewin;Demarai Gray
Nottingham Forest:Fulham FC,1:1,Dean Henderson;K. Tete,Omar Richards;Tosin Adarabioyo,,W. Boly:T. Awoniyi;Antonee Robinson:Daniel James,Dean Henderson;Omar Richards;W. Boly;J. Worrall;N. Williams;R. Yates;Orel Mangala;J. Shelvey;Chris Wood;T. Awoniyi;S. Surridge,B. Leno;Tosin Adarabioyo;K. Tete;Charlie Robinson;Antonee Robinson;Kristian Sekularac;B. Reid;A. Pereira;Daniel James;Willian;Harry Wilson
Newcastle United:Leeds United,5:5,Sonny Perkins,Darko Gyabi,A. Isak;Archie Gray,M. Ritchie:Harrison Ashby;Ryan Fraser:S. Longstaff;C. Wilson:Matt Targett;Joelinton:A. Isak;K. Trippier:J. Lascelles;Archie Gray:R. Koch;S. Dallas:Adam Forshaw;Junior Firpo:Rodrigo;Georginio Rutter:Luke Ayling;Sonny Perkins:Darko Gyabi,M. Dubravka;Matt Targett;Harrison Ashby;J. Lascelles;K. Trippier;Joelinton;M. Ritchie;S. Longstaff;Ryan Fraser;A. Isak;C. Wilson,Joel Robles;Luke Ayling;R. Koch;S. Dallas;Junior Firpo;Darko Gyabi;Archie Gray;Adam Forshaw;Rodrigo;Sonny Perkins;Georginio Rutter
Manchester United:Leicester City,5:3,,T. Castagne,,Phil Jones:A. Elanga;L. Shaw:Marc Jurado;R. Varane:Jadon Sancho;Fred:Bruno Fernandes;A. Martial:C. Eriksen;J. Maddison:Harvey Barnes;P. Daka:Ricardo Pereira;T. Castagne:C. Soyuncu,D. De Gea;L. Shaw;Phil Jones;R. Varane;Marc Jurado;C. Eriksen;Fred;Bruno Fernandes;A. Elanga;Jadon Sancho;A. Martial,D. Ward;C. Soyuncu;Ricardo Pereira;T. Castagne;Harry Souttar;J. Maddison;N. Mendy;B. Soumare;J. Vardy;P. Daka;Harvey Barnes
Man. City:Liverpool FC,5:4,K. Walker;J. Henderson,,J. Grealish;I. Konate,K. Phillips:P. Foden;K. De Bruyne:J. Grealish;R. Mahrez:K. Walker;B. Mendy:A. Laporte;Benjamin Knight:M. Akanji;Joe Gomez:M. Salah;Bobby Clark:J. Henderson;Rhys Williams:Calvin Ramsay;Diogo Jota:Stefan Bajcetic,S. Carson;M. Akanji;K. Walker;A. Laporte;B. Mendy;K. Phillips;K. De Bruyne;P. Foden;R. Mahrez;J. Grealish;Benjamin Knight,Alisson;Joe Gomez;I. Konate;Calvin Ramsay;Rhys Williams;Stefan Bajcetic;J. Henderson;Bobby Clark;M. Salah;Firmino;Diogo Jota
