match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
Newcastle United:AFC Bournemouth,4:4,B. Guimaraes;J. Anthony,J. Murphy;M. Tavernier;C. Mepham,D. Ouattara,D. Burn:J. Murphy;A. Saint-Maximin:Joelinton;P. Dummett:S. Botman;C. Wilson:B. Guimaraes;M. Tavernier:C. Mepham;E. Pollock:A. Smith;M. Senesi:H. Traore;D. Ouattara:K. Moore,M. Dubravka;D. Burn;P. Dummett;K. Trippier;S. Botman;B. Guimaraes;Joelinton;Matthew Longstaff;J. Murphy;A. Saint-Maximin;C. Wilson,M. Travers;A. Smith;C. Mepham;M. Senesi;Jack Stephens;H. Traore;E. Pollock;M. Tavernier;D. Ouattara;K. Moore;J. Anthony
Manchester United:Nottingham Forest,2:3,,Alejandro Garnacho;J. Lingard,Giulian Biancone,F. Pellistri:D. Van De Beek;W. Weghorst:Alejandro Garnacho;Giulian Biancone:M. Gibbs-White;S. Aurier:S. Cook;S. McKenna:J. Lingard,J. Butland;T. Malacia;L. Shaw;Brandon Williams;Phil Jones;D. Van De Beek;Scott Mctominay;C. Eriksen;F. Pellistri;W. Weghorst;Alejandro Garnacho,Keylor Navas;S. McKenna;S. Aurier;Giulian Biancone;S. Cook;M. Gibbs-White;Danilo;J. Lingard;Alexander Mighten;A. Ayew;S. Surridge
Man. City:Southampton FC,4:3,Lyanco,,,Rodri:P. Foden;Benjamin Knight:Rico Lewis;B. Mendy:J. Grealish;J. Stones:R. Mahrez;A. Bella-Kotchap:Ibrahima Diallo;J. Bednarek:Lyanco;Kyle Walker-Peters:Sekou Mara,S. Carson;B. Mendy;J. Stones;N. Ake;Rico Lewis;Rodri;Bernardo Silva;P. Foden;J. Grealish;R. Mahrez;Benjamin Knight,W. Caballero;Kyle Walker-Peters;Lyanco;J. Bednarek;A. Bella-Kotchap;Ibrahima Diallo;C. Alcaraz;Ainsley Maitland;Samuel Edozie;Sekou Mara;P. Onuachu
Liverpool FC:Tottenham Hotspur,0:2,Rhys Williams;B. Davies,Joe Gomez;Arthur Henrique,,Oliver Skipp:R. Bentancur;D. Kulusevski:D. Sanchez,Adrian;Rhys Williams;J. Matip;A. Robertson;Joe Gomez;Curtis Jones;Bobby Clark;Arthur Henrique;L. Diaz;M. Salah;D. Nunez,H. Lloris;D. Sanchez;B. Davies;E. Dier;C. Romero;Romaine Mundle;Oliver Skipp;R. Bentancur;A. Danjuma;Richarlison;D. Kulusevski
Leicester City:West Ham United,0:5,,Jonathan Evans;T. Kehrer,J. Vardy;A. Areola,T. Kehrer:Angelo Ogbonna;P. Fornals:B. Johnson;D. Rice:J. Bowen;Danny Ings:G. Scamacca;N. Aguerd:Armstrong Okoflex,A. Smithies;W. Faes;Jonathan Evans;Ryan Bertrand;J. Justin;Y. Tielemans;J. Maddison;Kiernan Dewsbury-Hall;J. Vardy;Harvey Barnes;Tete,A. Areola;Angelo Ogbonna;N. Aguerd;B. Johnson;T. Kehrer;P. Fornals;D. Rice;Armstrong Okoflex;J. Bowen;G. Scamacca;Danny Ings
Leeds United:Wolves,5:2,S. Dallas,Adam Forshaw;P. Struijk;N. Collins,Kristoffer Klaesson;N. Semedo,Gnonto:Adam Forshaw;Sam Greenwood:P. Struijk;Mateo Joseph:Darko Gyabi;Junior Firpo:S. Dallas;Marc Roca:Liam Cooper;Matheus Nunes:Dexter Lembikisa;Hugo Bueno:N. Collins,Kristoffer Klaesson;P. Struijk;S. Dallas;Liam Cooper;Junior Firpo;Adam Forshaw;Marc Roca;Darko Gyabi;Sam Greenwood;Gnonto;Mateo Joseph,Louie Moulden;N. Semedo;N. Collins;Hugo Bueno;Dexter Lembikisa;Joao Moutinho;Matheus Nunes;Boubacar Traore;Nathan Fraser;D. Podence;Hee-Chan Hwang
Fulham FC:Arsenal FC,4:2,,,S. Lukic;O. Zinchenko,Harry Wilson:N. Kebano;K. Tete:S. Lukic;Terry Ablade:L. Kurzawa;Matthew Dibley:T. Francois;Reuell Walters:Smith Rowe;Martinelli:M. Elneny,George Wickens;K. Tete;L. Kurzawa;Stefan Parkes;Charlie Robinson;T. Francois;Matthew Dibley;S. Lukic;N. Kebano;Harry Wilson;Terry Ablade,A. Ramsdale;Reuell Walters;Takehiro Tomiyasu;B. White;O. Zinchenko;B. Saka;Smith Rowe;M. Elneny;Martinelli;Gabriel Jesus;Reiss Nelson
Everton FC:Aston Villa,1:3,James Wright,V. Mykolenko;Kadan Young,Tom Davies;Tommi O'reilly,E. Simms:C. Coady;Alex Moreno:Kadan Young;E. Buendia:A. Young;Douglas Luiz:Tommi O'reilly,A. Begovic;Reece Welch;Ruben Vinagre;C. Coady;V. Mykolenko;I. Gueye;Tom Davies;Alex Iwobi;Andros Townsend;Dominic Calvert-Lewin;E. Simms,James Wright;A. Young;Diego Carlos;Alex Moreno;T. Mings;L. Dendoncker;Tommi O'reilly;Douglas Luiz;Kadan Young;B. Traore;E. Buendia
Crystal Palace:Brentford FC,1:1,Jeffrey Schlupp;Josh Dasilva,Chris Richards;J. Ward;M. Cox,Sam Johnstone,Chris Richards:Jeffrey Schlupp;M. Olakigbe:Zanka,Sam Johnstone;Marc Guehi;J. Ward;Chris Richards;J. Andersen;Jack Wells-Morrison;Jeffrey Schlupp;E. Eze;O. Edouard;Jean Mateta;J. Ayew,M. Cox;Zanka;F. Stevens;K. Ajer;P. Jansson;M. Jensen;V. Janelt;Josh Dasilva;M. Olakigbe;M. Damsgaard;B. Mbeumo
Chelsea FC:Brighton FC,1:5,,Levi Colwill,M. Cucurella;R. Sanchez,N. Kante:C. Pulisic;Levi Colwill:P. Estupinan;A. Lallana:Danny Welbeck;K. Mitoma:Imari Samuels;P. Gross:Evan Ferguson;B. Gilmour:T. Lamptey,E. Mendy;M. Cucurella;Reece James;C. Azpilicueta;K. Koulibaly;K. Havertz;R. Loftus-Cheek;N. Kante;C. Pulisic;Omari Hutchinson;P. Aubameyang,R. Sanchez;Levi Colwill;Imari Samuels;P. Estupinan;T. Lamptey;P. Gross;A. Lallana;B. Gilmour;Danny Welbeck;Evan Ferguson;K. Mitoma
