match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Manchester United,1:4,Michael Dacosta;H. Maguire,M. Rashford,A. Elanga,K. Moore:Jack Stephens;Zidane Iqbal:M. Rashford;D. Dalot:D. Van De Beek;Fred:Brandon Williams;H. Maguire:A. Wan-Bissaka,M. Travers;C. Mepham;Jack Stacey;Jack Stephens;I. Zabarnyi;M. Tavernier;R. Christie;E. Pollock;Daniel Adu-Adjei;K. Moore;Michael Dacosta,J. Butland;D. Dalot;H. Maguire;A. Wan-Bissaka;Brandon Williams;Fred;Zidane Iqbal;D. Van De Beek;A. Elanga;F. Pellistri;M. Rashford
Newcastle United:Man. City,1:4,E. Anderson,R. Mahrez;J. Alvarez,F. Schar;N. Ake,Ryan Fraser:J. Lewis;J. Stones:Bernardo Silva;B. Mendy:N. Ake;R. Mahrez:Ruben Dias;K. De Bruyne:I. Gundogan,Mark Gillespie;J. Lewis;F. Schar;S. Botman;P. Dummett;E. Anderson;Joe Willock;M. Ritchie;A. Gordon;A. Isak;Ryan Fraser,S. Carson;J. Stones;N. Ake;B. Mendy;Ruben Dias;K. De Bruyne;I. Gundogan;Bernardo Silva;J. Alvarez;J. Grealish;R. Mahrez
Nottingham Forest:Liverpool FC,5:5,M. Salah,,Adrian,N. Williams:S. Aurier;S. Cook:H. Arter;J. Colback:Chris Wood;T. Awoniyi:Orel Mangala;Omar Richards:Alexander Mighten;Joe Gomez:H. Elliott;J. Henderson:Calvin Ramsay;M. Salah:C. Gakpo;Alexander-Arnold:A. Oxlade-Chamberlain;V. Van Dijk:D. Nunez,W. Hennessey;Omar Richards;S. Cook;S. Aurier;N. Williams;J. Colback;Orel Mangala;H. Arter;Chris Wood;T. Awoniyi;Alexander Mighten,Adrian;Alexander-Arnold;Joe Gomez;V. Van Dijk;Calvin Ramsay;A. Oxlade-Chamberlain;J. Henderson;H. Elliott;C. Gakpo;D. Nunez;M. Salah
Southampton FC:Leicester City,3:1,G. Bazunu,P. Onuachu;A. Bella-Kotchap;W. Faes,J. Maddison,A. Bella-Kotchap:Ibrahima Diallo;S. Armstrong:P. Onuachu;James Bree:Che Adams;B. Soumare:Lewis Brunt,G. Bazunu;Juan Larios;James Bree;A. Bella-Kotchap;R. Perraud;Joe Aribo;Ibrahima Diallo;S. Armstrong;K. Sulemana;Che Adams;P. Onuachu,Daniel Iversen;W. Faes;L. Thomas;Lewis Brunt;C. Soyuncu;B. Soumare;J. Maddison;N. Mendy;Harvey Barnes;P. Daka;Tete
Tottenham Hotspur:Leeds United,5:1,Georginio Rutter,,D. Sanchez,Heung-Min Son:C. Romero;D. Kulusevski:E. Dier;R. Sessegnon:Pedro Porro;A. Danjuma:D. Sanchez;I. Perisic:Pierre-Emile Hojbjerg;L. Sinisterra:Luke Ayling,H. Lloris;C. Romero;E. Dier;D. Sanchez;Pedro Porro;Pierre-Emile Hojbjerg;R. Sessegnon;I. Perisic;A. Danjuma;D. Kulusevski;Heung-Min Son,Joel Robles;Junior Firpo;P. Struijk;R. Kristensen;Luke Ayling;Archie Gray;W. Mckennie;Adam Forshaw;J. Harrison;Georginio Rutter;L. Sinisterra
West Ham United:Fulham FC,1:4,Stefan Parkes,George Wickens,T. Cairney,Danny Ings:Angelo Ogbonna;Harry Wilson:Kristian Sekularac;Antonee Robinson:K. Tete;M. Solomon:Stefan Parkes;T. Cairney:T. Francois,L. Fabianski;Angelo Ogbonna;N. Aguerd;Emerson;B. Johnson;Kaelan Casey;Armstrong Okoflex;F. Downes;Danny Ings;S. Benrahma;Gnaly Cornet,George Wickens;Stefan Parkes;K. Tete;Antonee Robinson;L. Kurzawa;T. Cairney;Kristian Sekularac;T. Francois;Willian;M. Solomon;Harry Wilson
Wolves:Everton FC,4:2,Jonny,Pedro Neto;Dominic Calvert-Lewin,Dexter Lembikisa;N. Maupay,Joao Moutinho:M. Lemina;Dexter Lembikisa:R. Ait-Nouri;Ruben Neves:Nathan Fraser;R. Jimenez:Hugo Bueno;I. Gueye:Seamus Coleman;N. Maupay:Ruben Vinagre,D. Bentley;Dexter Lembikisa;Jonny;Hugo Bueno;R. Ait-Nouri;Ruben Neves;Joao Moutinho;M. Lemina;Pedro Neto;Nathan Fraser;R. Jimenez,A. Begovic;Ruben Vinagre;Ishe Samuels;Mason Holgate;Seamus Coleman;I. Gueye;James Garner;A. Doucoure;N. Maupay;E. Simms;Dominic Calvert-Lewin
Arsenal FC:Crystal Palace,3:3,,K. Tierney;M. Turner;M. Olise,Matthew Smith;O. Edouard,Martinelli:Edward Nketiah;Reiss Nelson:Reuell Walters;M. Odegaard:K. Tierney;J. Tomkins:W. Zaha;Kofi Balmer:M. Olise;N. Clyne:O. Edouard,M. Turner;Matthew Smith;Lino Sousa;K. Tierney;Reuell Walters;Smith Rowe;B. Saka;M. Odegaard;Edward Nketiah;Reiss Nelson;Martinelli,Owen Goodman;Marc Guehi;N. Clyne;J. Tomkins;Kofi Balmer;M. Olise;William Hughes;Jairo Riedewald;J. Ayew;O. Edouard;W. Zaha
Aston Villa:Chelsea FC,1:2,A. Young,L. Dendoncker;L. Bailey,J. Mcginn,L. Dendoncker:A. Young;K. Havertz:Reece James;P. Aubameyang:W. Fofana,Viljami Sinisalo;T. Mings;A. Young;Alex Moreno;M. Cash;L. Dendoncker;J. Mcginn;J. Ramsey;B. Traore;J. Duran;L. Bailey,Kepa;Thiago Silva;C. Azpilicueta;Reece James;W. Fofana;K. Havertz;Harvey Vale;Conor Gallagher;Joao Felix;Omari Hutchinson;P. Aubameyang
Brentford FC:Brighton FC,0:1,,M. Olakigbe;O. Onyeka,D. Raya;Imari Samuels,Imari Samuels:Jeremy Sarmiento,D. Raya;K. Ajer;Zanka;M. Roerslev;E. Pinnock;M. Jensen;O. Onyeka;C. Norgaard;M. Damsgaard;M. Olakigbe;K. Lewis-Potter,Thomas Mcgill;Levi Colwill;L. Dunk;Jan Van Hecke;Imari Samuels;Andrew Moran;Cameron Peupion;Jeremy Sarmiento;K. Mitoma;D. Undav;Julio Enciso
