match,result,injured,yellow-card,red-card,goal-with-assist,team1,team2
AFC Bournemouth:Chelsea FC,3:3,J. Stanislas;Thiago Silva,Harvey Vale;H. Ziyech,R. Fredericks,J. Stanislas:J. Zemura;M. Tavernier:E. Pollock;D. Sadi:Joe Rothwell;Thiago Silva:B. Badiashile;K. Koulibaly:C. Pulisic;Trevoh Chalobah:Harvey Vale,C. Plain;R. Fredericks;Jack Stephens;C. Mepham;J. Zemura;Joe Rothwell;E. Pollock;M. Tavernier;D. Sadi;J. Stanislas;Dominic Solanke,Marcus Bettinelli;Trevoh Chalobah;Thiago Silva;B. Badiashile;K. Koulibaly;Harvey Vale;R. Loftus-Cheek;H. Ziyech;Joao Felix;David Fofana;C. Pulisic
Crystal Palace:Brighton FC,0:0,Thomas Mcgill,O. Edouard;Chris Richards;F. Buonanotte,,,Sam Johnstone;N. Clyne;Chris Richards;Nathan Ferguson;Kofi Balmer;David Ozoh;Jack Wells-Morrison;William Hughes;O. Edouard;W. Zaha;Jean Mateta,Thomas Mcgill;Adam Webster;T. Lamptey;Jan Van Hecke;J. Veltman;Yasin Ayari;F. Buonanotte;B. Gilmour;Danny Welbeck;Evan Ferguson;Julio Enciso
Everton FC:Brentford FC,3:0,M. Damsgaard,Demarai Gray,,C. Coady:A. Doucoure;B. Godfrey:Dominic Calvert-Lewin;Andros Townsend:Ishe Samuels,A. Lonergan;C. Coady;Seamus Coleman;Ishe Samuels;B. Godfrey;A. Doucoure;James Garner;Tom Davies;Demarai Gray;Dominic Calvert-Lewin;Andros Townsend,M. Cox;B. Mee;E. Pinnock;R. Henry;M. Roerslev;O. Onyeka;R. Trevitt;V. Janelt;I. Toney;M. Damsgaard;M. Olakigbe
Fulham FC:Aston Villa,5:1,,B. Leno;Charlie Robinson;Tommi O'reilly,,Charlie Robinson:T. Ream;Terry Ablade:Kristian Sekularac;Willian:N. Kebano;K. Tete:Stefan Parkes;Luke Harris:Matthew Dibley;T. Mings:J. Duran,B. Leno;K. Tete;T. Ream;Stefan Parkes;Charlie Robinson;Matthew Dibley;Kristian Sekularac;Luke Harris;N. Kebano;Terry Ablade;Willian,Emiliano Martinez;T. Mings;Alex Moreno;Diego Carlos;C. Chambers;J. Mcginn;Tommi O'reilly;Douglas Luiz;B. Traore;J. Duran;Kadan Young
Leeds United:Arsenal FC,3:1,R. Kristensen;Gabriel Jesus,Martinelli;Reuell Walters,Jakub Kiwior,Archie Gray:Mateo Joseph;J. Harrison:Crysencio Summerville;R. Kristensen:W. Mckennie;Fabio Vieira:Reuell Walters,Kristoffer Klaesson;Luke Ayling;S. Dallas;Liam Cooper;R. Kristensen;Archie Gray;T. Adams;W. Mckennie;Crysencio Summerville;Mateo Joseph;J. Harrison,Karl Hein;Reuell Walters;Jakub Kiwior;K. Tierney;B. White;Amario Cozier;Fabio Vieira;M. Elneny;Gabriel Jesus;Martinelli;Edward Nketiah
Leicester City:Wolves,0:5,Sammy Braybrooke;M. Lemina,N. Semedo;M. Kilman,,Chiquinho:N. Semedo;Harvey Griffiths:Boubacar Traore;D. Podence:M. Lemina;M. Kilman:C. Dawson;A. Traore:Toti Gomes,A. Smithies;Lewis Brunt;Jonathan Evans;Ricardo Pereira;J. Justin;N. Mendy;Sammy Braybrooke;Y. Tielemans;J. Vardy;P. Daka;Tete,Jose Sa;Toti Gomes;C. Dawson;N. Semedo;M. Kilman;Boubacar Traore;Harvey Griffiths;M. Lemina;D. Podence;A. Traore;Chiquinho
Liverpool FC:West Ham United,4:1,Nathaniel Phillips,K. Tsimikas;Fabinho;V. Coufal,A. Robertson;M. Lanzini,K. Tsimikas:A. Robertson;Joe Gomez:D. Nunez;A. Oxlade-Chamberlain:Nathaniel Phillips;M. Salah:Bobby Clark;Gnaly Cornet:Divin Mubama,Caoimhin Kelleher;Nathaniel Phillips;A. Robertson;Joe Gomez;K. Tsimikas;Bobby Clark;A. Oxlade-Chamberlain;Fabinho;M. Salah;Firmino;D. Nunez,L. Fabianski;Emerson;A. Cresswell;Angelo Ogbonna;V. Coufal;T. Soucek;M. Lanzini;D. Rice;Divin Mubama;Gnaly Cornet;M. Antonio
Man. City:Tottenham Hotspur,0:3,D. Sanchez,Maximo Perrone;P. Foden;F. Forster;D. Kulusevski,J. Alvarez;A. Danjuma,R. Sessegnon:Emerson Royal;C. Lenglet:Oliver Skipp;George Abbott:D. Kulusevski,Ederson;Ruben Dias;N. Ake;B. Mendy;A. Laporte;K. De Bruyne;Maximo Perrone;P. Foden;J. Alvarez;J. Grealish;E. Haaland,F. Forster;George Abbott;C. Lenglet;Emerson Royal;D. Sanchez;Oliver Skipp;I. Perisic;R. Sessegnon;Heung-Min Son;D. Kulusevski;A. Danjuma
Manchester United:Southampton FC,3:1,Romeo Lavia,Antony;K. Sulemana;J. Ward-Prowse,,Casemiro:Antony;Teden Mengi:Brandon Williams;Zidane Iqbal:Lisandro Martinez;K. Sulemana:J. Ward-Prowse,T. Heaton;Teden Mengi;Brandon Williams;Lisandro Martinez;T. Malacia;Casemiro;Scott Mctominay;Zidane Iqbal;Antony;W. Weghorst;A. Martial,Alex Mccarthy;Lyanco;Tino Livramento;A. Bella-Kotchap;R. Perraud;J. Ward-Prowse;C. Alcaraz;Romeo Lavia;M. Elyounoussi;P. Onuachu;K. Sulemana
Newcastle United:Nottingham Forest,1:0,,Renan Lodi;S. McKenna,,K. Trippier:F. Schar,L. Karius;J. Lewis;F. Schar;K. Trippier;J. Lascelles;E. Anderson;M. Almiron;Matthew Longstaff;Ryan Fraser;A. Gordon;A. Saint-Maximin,George Shelvey;S. McKenna;Renan Lodi;W. Boly;H. Toffolo;J. Colback;Danilo;Gustavo Scarpa;A. Ayew;T. Awoniyi;E. Dennis
